datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,76.02,76.18,76.02,76.05,302,5,76.178
2020-03-30 09:30:01,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:02,76.05,76.08,76.05,76.08,2,2,76.065
2020-03-30 09:30:03,75.16,76.09,75.16,76.06,11,3,75.725
2020-03-30 09:30:04,76.0,76.0,75.67,75.67,2,2,75.837
2020-03-30 09:30:05,74.85,74.85,74.85,74.85,3,1,74.85
2020-03-30 09:30:06,74.85,74.85,74.85,74.85,0,0,74.85
2020-03-30 09:30:07,76.05,76.09,76.05,76.05,10,3,76.07
2020-03-30 09:30:08,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:09,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:10,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:11,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:12,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:13,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:14,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:15,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:16,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:17,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:18,76.05,76.05,76.05,76.05,0,0,76.05
2020-03-30 09:30:19,76.09,76.09,76.09,76.09,1,1,76.09
2020-03-30 09:30:20,76.09,76.09,76.07,76.07,3,2,76.083
2020-03-30 09:30:21,76.13,76.14,76.13,76.14,3,3,76.133
2020-03-30 09:30:22,76.14,76.14,76.14,76.14,0,0,76.14
2020-03-30 09:30:23,76.14,76.14,76.14,76.14,0,0,76.14
2020-03-30 09:30:24,76.14,76.14,76.14,76.14,0,0,76.14
2020-03-30 09:30:25,76.14,76.14,76.14,76.14,0,0,76.14
2020-03-30 09:30:26,76.48,76.48,76.47,76.47,2,2,76.475
2020-03-30 09:30:27,76.47,76.47,76.47,76.47,0,0,76.47
2020-03-30 09:30:28,76.47,76.47,76.47,76.47,0,0,76.47
2020-03-30 09:30:29,76.47,76.47,76.47,76.47,0,0,76.47
2020-03-30 09:30:30,76.5,76.5,76.5,76.5,2,1,76.5
2020-03-30 09:30:31,76.52,76.52,76.52,76.52,1,1,76.52
2020-03-30 09:30:32,76.52,76.52,76.52,76.52,0,0,76.52
2020-03-30 09:30:33,76.63,76.63,76.63,76.63,1,1,76.63
2020-03-30 09:30:34,76.63,76.63,76.63,76.63,0,0,76.63
2020-03-30 09:30:35,76.95,76.95,76.95,76.95,1,1,76.95
2020-03-30 09:30:36,76.95,76.95,76.95,76.95,0,0,76.95
2020-03-30 09:30:37,76.95,76.95,76.95,76.95,0,0,76.95
2020-03-30 09:30:38,76.95,76.95,76.95,76.95,0,0,76.95
2020-03-30 09:30:39,76.95,76.95,76.95,76.95,0,0,76.95
2020-03-30 09:30:40,76.95,76.95,76.95,76.95,0,0,76.95
2020-03-30 09:30:41,76.95,76.95,76.95,76.95,0,0,76.95
2020-03-30 09:30:42,76.95,76.95,76.95,76.95,0,0,76.95
2020-03-30 09:30:43,76.95,76.95,76.95,76.95,0,0,76.95
2020-03-30 09:30:44,76.33,76.6,76.26,76.6,15,14,76.347
2020-03-30 09:30:45,76.6,76.6,76.6,76.6,0,0,76.6
2020-03-30 09:30:46,76.6,76.6,76.6,76.6,0,0,76.6
2020-03-30 09:30:47,76.6,76.6,76.6,76.6,0,0,76.6
2020-03-30 09:30:48,76.6,76.6,76.6,76.6,0,0,76.6
2020-03-30 09:30:49,76.6,76.6,76.6,76.6,0,0,76.6
2020-03-30 09:30:50,76.98,76.98,76.97,76.98,1,1,76.975
2020-03-30 09:30:51,76.98,76.98,76.97,76.98,0,0,76.98
2020-03-30 09:30:52,76.98,76.98,76.97,76.98,1,1,76.975
2020-03-30 09:30:53,76.98,76.98,76.97,76.98,0,0,76.98
2020-03-30 09:30:54,76.81,76.99,76.81,76.98,2,2,76.897
2020-03-30 09:30:55,76.98,76.99,76.98,76.98,0,0,76.98
2020-03-30 09:30:56,76.98,76.99,76.98,76.98,0,0,76.98
2020-03-30 09:30:57,76.98,76.99,76.98,76.98,0,0,76.98
2020-03-30 09:30:58,76.98,76.99,76.98,76.98,0,0,76.98
2020-03-30 09:30:59,76.98,76.99,76.98,76.98,0,0,76.98
2020-03-30 09:31:00,76.78,76.78,76.26,76.26,8,5,76.507
2020-03-30 09:31:01,76.26,76.26,76.26,76.26,0,0,76.26
2020-03-30 09:31:02,76.26,76.26,76.26,76.26,0,0,76.26
2020-03-30 09:31:03,76.26,76.26,76.26,76.26,0,0,76.26
2020-03-30 09:31:04,76.99,76.99,76.99,76.99,1,1,76.99
2020-03-30 09:31:05,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:06,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:07,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:08,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:09,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:10,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:11,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:12,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:13,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:14,76.69,76.69,76.68,76.69,1,1,76.685
2020-03-30 09:31:15,76.69,76.69,76.68,76.69,0,0,76.69
2020-03-30 09:31:16,76.69,76.69,76.68,76.69,0,0,76.69
2020-03-30 09:31:17,76.69,76.69,76.68,76.69,0,0,76.69
2020-03-30 09:31:18,76.69,76.69,76.68,76.69,0,0,76.69
2020-03-30 09:31:19,76.79,76.79,76.71,76.72,2,2,76.752
2020-03-30 09:31:20,76.72,76.72,76.71,76.72,0,0,76.72
2020-03-30 09:31:21,76.72,76.72,76.71,76.72,0,0,76.72
2020-03-30 09:31:22,76.72,76.72,76.71,76.72,0,0,76.72
2020-03-30 09:31:23,76.72,76.72,76.71,76.72,0,0,76.72
2020-03-30 09:31:24,76.72,76.72,76.71,76.72,0,0,76.72
2020-03-30 09:31:25,76.72,76.72,76.71,76.72,0,0,76.72
2020-03-30 09:31:26,76.72,76.72,76.71,76.72,0,0,76.72
2020-03-30 09:31:27,76.98,76.98,76.98,76.98,2,2,76.98
2020-03-30 09:31:28,76.98,76.98,76.98,76.98,0,0,76.98
2020-03-30 09:31:29,76.98,76.98,76.98,76.98,0,0,76.98
2020-03-30 09:31:30,76.98,76.98,76.98,76.98,0,0,76.98
2020-03-30 09:31:31,76.99,76.99,76.99,76.99,1,1,76.99
2020-03-30 09:31:32,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:33,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:34,76.99,76.99,76.99,76.99,0,0,76.99
2020-03-30 09:31:35,76.73,76.73,76.72,76.73,1,1,76.725
2020-03-30 09:31:36,76.73,76.73,76.72,76.73,0,0,76.73
2020-03-30 09:31:37,76.52,76.6,76.48,76.52,10,8,76.527
2020-03-30 09:31:38,76.52,76.52,76.52,76.52,0,0,76.52
2020-03-30 09:31:39,76.52,76.52,76.52,76.52,0,0,76.52
2020-03-30 09:31:40,76.52,76.52,76.52,76.52,0,0,76.52
2020-03-30 09:31:41,76.71,76.94,76.71,76.94,2,2,76.825
2020-03-30 09:31:42,76.94,76.94,76.94,76.94,0,0,76.94
2020-03-30 09:31:43,76.94,76.94,76.94,76.94,0,0,76.94
2020-03-30 09:31:44,76.94,76.94,76.94,76.94,0,0,76.94
2020-03-30 09:31:45,76.94,76.94,76.94,76.94,0,0,76.94
2020-03-30 09:31:46,76.94,76.94,76.94,76.94,0,0,76.94
2020-03-30 09:31:47,76.51,76.52,76.51,76.52,2,2,76.515
2020-03-30 09:31:48,76.9,76.91,76.9,76.91,2,2,76.905
2020-03-30 09:31:49,76.91,76.91,76.91,76.91,0,0,76.91
2020-03-30 09:31:50,76.92,76.92,76.91,76.91,3,3,76.913
2020-03-30 09:31:51,76.91,76.91,76.91,76.91,0,0,76.91
2020-03-30 09:31:52,76.91,76.91,76.91,76.91,0,0,76.91
2020-03-30 09:31:53,76.91,76.91,76.91,76.91,0,0,76.91
2020-03-30 09:31:54,76.91,76.91,76.91,76.91,0,0,76.91
2020-03-30 09:31:55,76.91,76.91,76.91,76.91,0,0,76.91
2020-03-30 09:31:56,76.93,76.93,76.93,76.93,2,1,76.93
2020-03-30 09:31:57,76.61,76.61,76.61,76.61,1,1,76.61
2020-03-30 09:31:58,76.61,76.61,76.61,76.61,0,0,76.61
2020-03-30 09:31:59,76.61,76.61,76.61,76.61,0,0,76.61
2020-03-30 09:32:00,76.61,76.61,76.61,76.61,0,0,76.61
2020-03-30 09:32:01,76.57,76.73,76.57,76.73,2,2,76.647
2020-03-30 09:32:02,76.73,76.73,76.72,76.73,0,0,76.73
2020-03-30 09:32:03,76.73,76.73,76.72,76.73,0,0,76.73
2020-03-30 09:32:04,76.73,76.73,76.72,76.73,0,0,76.73
2020-03-30 09:32:05,76.73,76.73,76.72,76.73,0,0,76.73
2020-03-30 09:32:06,76.73,76.73,76.72,76.73,0,0,76.73
2020-03-30 09:32:07,76.86,76.86,76.86,76.86,1,1,76.86
2020-03-30 09:32:08,76.86,76.86,76.86,76.86,0,0,76.86
2020-03-30 09:32:09,76.88,76.88,76.88,76.88,1,1,76.88
2020-03-30 09:32:10,76.88,76.88,76.88,76.88,0,0,76.88
2020-03-30 09:32:11,76.88,76.88,76.88,76.88,0,0,76.88
2020-03-30 09:32:12,76.88,76.88,76.88,76.88,0,0,76.88
