datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,84.85,85.04,84.85,85.0,436,7,85.038
2020-03-30 09:30:01,85.04,85.04,84.99,85.0,7,6,85.013
2020-03-30 09:30:02,85.49,85.49,85.49,85.49,1,1,85.49
2020-03-30 09:30:03,85.44,85.44,85.44,85.44,2,1,85.44
2020-03-30 09:30:04,85.44,85.44,85.44,85.44,0,0,85.44
2020-03-30 09:30:05,85.49,85.5,85.49,85.5,2,2,85.495
2020-03-30 09:30:06,85.5,85.5,85.5,85.5,1,1,85.5
2020-03-30 09:30:07,85.5,85.5,85.5,85.5,1,1,85.5
2020-03-30 09:30:08,85.5,85.5,85.5,85.5,0,0,85.5
2020-03-30 09:30:09,85.5,85.5,85.5,85.5,0,0,85.5
2020-03-30 09:30:10,85.5,85.5,85.5,85.5,0,0,85.5
2020-03-30 09:30:11,85.5,85.5,85.5,85.5,0,0,85.5
2020-03-30 09:30:12,85.5,85.5,85.5,85.5,0,0,85.5
2020-03-30 09:30:13,85.5,85.5,85.5,85.5,0,0,85.5
2020-03-30 09:30:14,85.5,85.5,85.5,85.5,0,0,85.5
2020-03-30 09:30:15,85.15,85.15,85.11,85.11,2,2,85.13
2020-03-30 09:30:16,85.11,85.11,85.11,85.11,0,0,85.11
2020-03-30 09:30:17,85.11,85.11,85.11,85.11,0,0,85.11
2020-03-30 09:30:18,85.11,85.11,85.11,85.11,0,0,85.11
2020-03-30 09:30:19,85.11,85.11,85.11,85.11,0,0,85.11
2020-03-30 09:30:20,85.11,85.11,85.11,85.11,0,0,85.11
2020-03-30 09:30:21,85.11,85.11,85.11,85.11,0,0,85.11
2020-03-30 09:30:22,85.11,85.11,85.11,85.11,0,0,85.11
2020-03-30 09:30:23,85.39,85.39,85.32,85.32,3,3,85.342
2020-03-30 09:30:24,85.5,85.5,85.41,85.5,10,10,85.491
2020-03-30 09:30:25,85.64,85.79,85.64,85.79,2,2,85.715
2020-03-30 09:30:26,85.8,85.97,85.58,85.95,5,5,85.804
2020-03-30 09:30:27,85.96,85.96,85.96,85.96,1,1,85.96
