datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,13.75,13.75,13.75,13.75,608,4,13.75
2020-03-30 09:30:01,13.75,13.75,13.7,13.7,8,8,13.724
2020-03-30 09:30:02,13.72,13.74,13.72,13.74,2,2,13.73
2020-03-30 09:30:03,13.74,13.74,13.74,13.74,0,0,13.74
2020-03-30 09:30:04,13.74,13.74,13.74,13.74,0,0,13.74
2020-03-30 09:30:05,13.74,13.74,13.74,13.74,0,0,13.74
2020-03-30 09:30:06,13.74,13.74,13.74,13.74,0,0,13.74
2020-03-30 09:30:07,13.74,13.74,13.74,13.74,0,0,13.74
2020-03-30 09:30:08,13.75,13.75,13.75,13.75,2,1,13.75
2020-03-30 09:30:09,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:10,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:11,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:12,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:13,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:14,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:15,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:16,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:17,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:18,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:19,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:20,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:21,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:22,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:23,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:24,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:25,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:26,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:27,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:28,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:29,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:30,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:31,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:32,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:33,13.75,13.75,13.75,13.75,0,0,13.75
2020-03-30 09:30:34,13.53,13.53,13.53,13.53,1,1,13.53
2020-03-30 09:30:35,13.53,13.53,13.53,13.53,0,0,13.53
2020-03-30 09:30:36,13.53,13.53,13.53,13.53,0,0,13.53
2020-03-30 09:30:37,13.53,13.53,13.53,13.53,0,0,13.53
2020-03-30 09:30:38,13.53,13.53,13.53,13.53,0,0,13.53
2020-03-30 09:30:39,13.53,13.53,13.53,13.53,0,0,13.53
2020-03-30 09:30:40,13.68,13.68,13.67,13.68,1,1,13.675
2020-03-30 09:30:41,13.68,13.68,13.67,13.68,0,0,13.68
2020-03-30 09:30:42,13.68,13.68,13.67,13.68,0,0,13.68
2020-03-30 09:30:43,13.68,13.68,13.67,13.68,0,0,13.68
2020-03-30 09:30:44,13.68,13.68,13.67,13.68,0,0,13.68
2020-03-30 09:30:45,13.61,13.61,13.61,13.61,5,1,13.61
2020-03-30 09:30:46,13.61,13.61,13.61,13.61,0,0,13.61
2020-03-30 09:30:47,13.61,13.61,13.61,13.61,0,0,13.61
2020-03-30 09:30:48,13.61,13.61,13.61,13.61,0,0,13.61
2020-03-30 09:30:49,13.61,13.61,13.61,13.61,0,0,13.61
2020-03-30 09:30:50,13.61,13.61,13.61,13.61,0,0,13.61
