datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,63.02,63.02,63.02,63.02,20,1,63.02
2020-03-30 09:30:01,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:02,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:03,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:04,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:05,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:06,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:07,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:08,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:09,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:10,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:11,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:12,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:13,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:14,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:15,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:16,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:17,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:18,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:19,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:20,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:21,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:22,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:23,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:24,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:25,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:26,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:27,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:28,63.02,63.02,63.02,63.02,0,0,63.02
2020-03-30 09:30:29,63.02,63.02,63.02,63.02,0,0,63.02
