datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,98.52,98.52,98.52,98.52,76,1,98.52
2020-03-30 09:30:01,98.52,98.52,98.52,98.52,0,0,98.52
2020-03-30 09:30:02,98.17,98.18,98.17,98.17,1,1,98.175
2020-03-30 09:30:03,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:04,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:05,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:06,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:07,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:08,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:09,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:10,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:11,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:12,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:13,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:14,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:15,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:16,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:17,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:18,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:19,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:20,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:21,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:22,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:23,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:24,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:25,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:26,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:27,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:28,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:29,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:30,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:31,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:32,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:33,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:34,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:35,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:36,98.17,98.18,98.17,98.17,0,0,98.17
2020-03-30 09:30:37,98.17,98.18,98.17,98.17,0,0,98.17
