datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,41.93,41.93,41.93,41.93,43,1,41.93
2020-03-30 09:30:01,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:02,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:03,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:04,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:05,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:06,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:07,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:08,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:09,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:10,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:11,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:12,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:13,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:14,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:15,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:16,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:17,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:18,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:19,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:20,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:21,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:22,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:23,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:24,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:25,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:26,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:27,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:28,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:29,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:30,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:31,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:32,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:33,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:34,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:35,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:36,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:37,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:38,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:39,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:40,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:41,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:42,41.93,41.93,41.93,41.93,0,0,41.93
2020-03-30 09:30:43,41.93,41.93,41.93,41.93,0,0,41.93
