datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,63.72,63.72,63.72,63.72,28,1,63.72
2020-03-30 09:30:01,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:02,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:03,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:04,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:05,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:06,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:07,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:08,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:09,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:10,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:11,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:12,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:13,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:14,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:15,63.72,63.72,63.72,63.72,0,0,63.72
2020-03-30 09:30:16,64.31,64.31,64.3,64.31,1,1,64.305
2020-03-30 09:30:17,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:18,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:19,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:20,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:21,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:22,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:23,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:24,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:25,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:26,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:27,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:28,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:29,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:30,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:31,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:32,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:33,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:34,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:35,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:36,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:37,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:38,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:39,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:40,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:41,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:42,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:43,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:44,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:45,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:46,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:47,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:48,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:49,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:50,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:51,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:52,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:53,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:54,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:55,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:56,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:57,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:58,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:30:59,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:31:00,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:31:01,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:31:02,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:31:03,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:31:04,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:31:05,64.31,64.31,64.3,64.31,0,0,64.31
2020-03-30 09:31:06,64.31,64.31,64.3,64.31,0,0,64.31
