datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,59.21,59.21,58.97,58.97,162,4,59.207
2020-03-30 09:30:01,58.97,58.97,58.97,58.97,0,0,58.97
2020-03-30 09:30:02,59.25,59.25,59.25,59.25,1,1,59.25
2020-03-30 09:30:03,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:04,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:05,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:06,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:07,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:08,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:09,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:10,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:11,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:12,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:13,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:14,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:15,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:16,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:17,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:18,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:19,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:20,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:21,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:22,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:23,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:24,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:25,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:26,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:27,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:28,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:29,59.25,59.25,59.25,59.25,0,0,59.25
2020-03-30 09:30:30,59.13,59.13,59.13,59.13,1,1,59.13
2020-03-30 09:30:31,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:32,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:33,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:34,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:35,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:36,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:37,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:38,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:39,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:40,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:41,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:42,59.13,59.13,59.13,59.13,0,0,59.13
2020-03-30 09:30:43,58.87,59.34,58.87,59.34,2,2,59.071
2020-03-30 09:30:44,59.34,59.34,59.34,59.34,0,0,59.34
2020-03-30 09:30:45,59.34,59.34,59.34,59.34,0,0,59.34
2020-03-30 09:30:46,59.34,59.34,59.34,59.34,0,0,59.34
2020-03-30 09:30:47,59.43,59.75,59.19,59.19,99,30,59.537
2020-03-30 09:30:48,59.19,59.19,59.19,59.19,0,0,59.19
2020-03-30 09:30:49,59.19,59.19,59.19,59.19,0,0,59.19
2020-03-30 09:30:50,59.72,59.75,59.63,59.63,6,6,59.684
2020-03-30 09:30:51,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:30:52,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:30:53,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:30:54,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:30:55,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:30:56,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:30:57,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:30:58,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:30:59,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:31:00,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:31:01,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:31:02,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:31:03,59.63,59.63,59.63,59.63,0,0,59.63
2020-03-30 09:31:04,59.47,59.47,59.47,59.47,2,1,59.47
2020-03-30 09:31:05,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:06,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:07,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:08,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:09,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:10,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:11,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:12,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:13,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:14,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:15,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:16,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:17,59.47,59.47,59.47,59.47,0,0,59.47
2020-03-30 09:31:18,60.14,60.31,60.11,60.28,75,43,60.283
2020-03-30 09:31:19,59.95,59.95,59.95,59.95,1,1,59.95
2020-03-30 09:31:20,59.95,59.95,59.95,59.95,0,0,59.95
2020-03-30 09:31:21,59.95,59.95,59.95,59.95,0,0,59.95
2020-03-30 09:31:22,59.95,59.95,59.95,59.95,0,0,59.95
2020-03-30 09:31:23,59.85,59.85,59.85,59.85,2,1,59.85
2020-03-30 09:31:24,59.85,59.85,59.85,59.85,0,0,59.85
2020-03-30 09:31:25,59.85,59.85,59.85,59.85,0,0,59.85
2020-03-30 09:31:26,59.85,59.85,59.85,59.85,0,0,59.85
2020-03-30 09:31:27,59.85,59.85,59.85,59.85,0,0,59.85
2020-03-30 09:31:28,59.85,59.85,59.85,59.85,0,0,59.85
2020-03-30 09:31:29,59.85,59.85,59.85,59.85,0,0,59.85
2020-03-30 09:31:30,59.85,59.85,59.85,59.85,0,0,59.85
2020-03-30 09:31:31,59.87,59.87,59.87,59.87,6,1,59.87
2020-03-30 09:31:32,59.87,59.87,59.87,59.87,0,0,59.87
2020-03-30 09:31:33,59.87,59.87,59.87,59.87,0,0,59.87
2020-03-30 09:31:34,59.87,59.87,59.87,59.87,0,0,59.87
2020-03-30 09:31:35,59.87,59.87,59.87,59.87,0,0,59.87
2020-03-30 09:31:36,59.87,59.87,59.87,59.87,0,0,59.87
2020-03-30 09:31:37,59.87,59.87,59.87,59.87,0,0,59.87
2020-03-30 09:31:38,59.87,59.87,59.87,59.87,0,0,59.87
2020-03-30 09:31:39,59.89,59.89,59.89,59.89,1,1,59.89
2020-03-30 09:31:40,59.89,59.89,59.89,59.89,0,0,59.89
2020-03-30 09:31:41,59.89,59.89,59.89,59.89,0,0,59.89
2020-03-30 09:31:42,59.89,59.89,59.89,59.89,0,0,59.89
2020-03-30 09:31:43,59.89,59.89,59.89,59.89,0,0,59.89
2020-03-30 09:31:44,59.89,59.89,59.89,59.89,0,0,59.89
2020-03-30 09:31:45,59.89,59.89,59.89,59.89,0,0,59.89
2020-03-30 09:31:46,59.89,59.89,59.89,59.89,0,0,59.89
2020-03-30 09:31:47,59.89,59.89,59.89,59.89,0,0,59.89
2020-03-30 09:31:48,59.89,59.89,59.89,59.89,0,0,59.89
2020-03-30 09:31:49,60.03,60.03,60.03,60.03,1,1,60.03
2020-03-30 09:31:50,60.01,60.01,60.01,60.01,1,1,60.01
2020-03-30 09:31:51,60.0,60.0,60.0,60.0,1,1,60.0
2020-03-30 09:31:52,60.0,60.0,60.0,60.0,0,0,60.0
2020-03-30 09:31:53,60.0,60.0,60.0,60.0,0,0,60.0
2020-03-30 09:31:54,60.0,60.0,60.0,60.0,0,0,60.0
2020-03-30 09:31:55,60.0,60.0,60.0,60.0,0,0,60.0
2020-03-30 09:31:56,60.0,60.0,60.0,60.0,0,0,60.0
2020-03-30 09:31:57,60.0,60.0,60.0,60.0,0,0,60.0
2020-03-30 09:31:58,60.0,60.0,60.0,60.0,0,0,60.0
2020-03-30 09:31:59,59.8,59.8,59.79,59.8,1,1,59.795
2020-03-30 09:32:00,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:01,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:02,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:03,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:04,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:05,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:06,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:07,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:08,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:09,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:10,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:11,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:12,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:13,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:14,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:15,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:16,59.8,59.8,59.79,59.8,0,0,59.8
2020-03-30 09:32:17,59.8,59.8,59.79,59.8,0,0,59.8
