datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,16.4,16.4,16.4,16.4,621,1,16.4
2020-03-30 09:30:01,16.37,16.49,16.29,16.29,35,14,16.339
2020-03-30 09:30:02,16.3,16.48,16.3,16.48,12,5,16.36
2020-03-30 09:30:03,16.48,16.48,16.28,16.46,16,11,16.338
2020-03-30 09:30:04,16.46,16.46,16.46,16.46,0,0,16.46
2020-03-30 09:30:05,16.46,16.46,16.46,16.46,0,0,16.46
2020-03-30 09:30:06,16.46,16.46,16.46,16.46,0,0,16.46
2020-03-30 09:30:07,16.46,16.46,16.46,16.46,0,0,16.46
2020-03-30 09:30:08,16.46,16.46,16.46,16.46,0,0,16.46
2020-03-30 09:30:09,16.46,16.46,16.46,16.46,0,0,16.46
2020-03-30 09:30:10,16.46,16.46,16.46,16.46,0,0,16.46
2020-03-30 09:30:11,16.46,16.46,16.46,16.46,0,0,16.46
2020-03-30 09:30:12,16.4,16.46,16.4,16.46,8,2,16.407
2020-03-30 09:30:13,16.49,16.49,16.48,16.49,26,2,16.49
2020-03-30 09:30:14,16.49,16.49,16.49,16.49,2,1,16.49
2020-03-30 09:30:15,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:16,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:17,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:18,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:19,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:20,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:21,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:22,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:23,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:24,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:25,16.48,16.48,16.48,16.48,1,1,16.48
2020-03-30 09:30:26,16.39,16.46,16.32,16.46,6,4,16.355
2020-03-30 09:30:27,16.46,16.46,16.46,16.46,0,0,16.46
2020-03-30 09:30:28,16.32,16.32,16.32,16.32,3,1,16.32
2020-03-30 09:30:29,16.32,16.39,16.32,16.39,3,3,16.343
2020-03-30 09:30:30,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:31,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:32,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:33,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:34,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:35,16.32,16.39,16.32,16.32,5,4,16.334
2020-03-30 09:30:36,16.32,16.39,16.32,16.39,3,2,16.343
2020-03-30 09:30:37,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:38,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:39,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:40,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:41,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:42,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:43,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:44,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:45,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:46,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:47,16.42,16.44,16.32,16.44,8,8,16.417
2020-03-30 09:30:48,16.36,16.36,16.36,16.36,1,1,16.36
2020-03-30 09:30:49,16.36,16.43,16.36,16.42,12,7,16.392
2020-03-30 09:30:50,16.36,16.37,16.36,16.36,3,3,16.363
2020-03-30 09:30:51,16.36,16.36,16.36,16.36,1,1,16.36
2020-03-30 09:30:52,16.36,16.36,16.36,16.36,0,0,16.36
2020-03-30 09:30:53,16.36,16.43,16.36,16.43,4,4,16.412
2020-03-30 09:30:54,16.39,16.39,16.39,16.39,1,1,16.39
2020-03-30 09:30:55,16.39,16.39,16.39,16.39,1,1,16.39
2020-03-30 09:30:56,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:30:57,16.38,16.38,16.38,16.38,2,2,16.38
2020-03-30 09:30:58,16.36,16.4,16.36,16.4,7,6,16.377
2020-03-30 09:30:59,16.37,16.4,16.37,16.4,3,2,16.38
2020-03-30 09:31:00,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:31:01,16.4,16.44,16.38,16.42,20,15,16.417
2020-03-30 09:31:02,16.42,16.42,16.42,16.42,0,0,16.42
2020-03-30 09:31:03,16.37,16.37,16.37,16.37,3,1,16.37
2020-03-30 09:31:04,16.37,16.37,16.37,16.37,0,0,16.37
2020-03-30 09:31:05,16.37,16.37,16.37,16.37,0,0,16.37
2020-03-30 09:31:06,16.37,16.44,16.37,16.39,19,19,16.381
2020-03-30 09:31:07,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:31:08,16.39,16.39,16.39,16.39,1,1,16.39
2020-03-30 09:31:09,16.39,16.39,16.39,16.39,0,0,16.39
2020-03-30 09:31:10,16.39,16.42,16.38,16.42,19,14,16.396
2020-03-30 09:31:11,16.41,16.41,16.4,16.41,6,4,16.405
2020-03-30 09:31:12,16.38,16.39,16.38,16.39,3,2,16.384
