datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,74.29,74.29,74.29,74.29,470,1,74.29
2020-03-30 09:30:01,74.25,74.25,74.25,74.25,1,1,74.25
2020-03-30 09:30:02,74.35,74.35,74.35,74.35,1,1,74.35
2020-03-30 09:30:03,74.3,74.35,74.3,74.35,2,2,74.325
2020-03-30 09:30:04,74.4,74.4,74.4,74.4,1,1,74.4
2020-03-30 09:30:05,74.47,74.47,74.47,74.47,1,1,74.47
2020-03-30 09:30:06,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:07,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:08,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:09,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:10,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:11,74.49,74.5,74.49,74.5,3,2,74.493
2020-03-30 09:30:12,74.25,74.5,74.25,74.5,7,4,74.286
2020-03-30 09:30:13,74.5,74.5,74.5,74.5,0,0,74.5
2020-03-30 09:30:14,74.5,74.5,74.5,74.5,0,0,74.5
2020-03-30 09:30:15,74.5,74.5,74.5,74.5,0,0,74.5
2020-03-30 09:30:16,74.5,74.5,74.5,74.5,0,0,74.5
2020-03-30 09:30:17,74.5,74.5,74.5,74.5,0,0,74.5
2020-03-30 09:30:18,74.5,74.5,74.5,74.5,0,0,74.5
2020-03-30 09:30:19,74.5,74.5,74.5,74.5,0,0,74.5
2020-03-30 09:30:20,74.5,74.5,74.5,74.5,0,0,74.5
2020-03-30 09:30:21,74.49,74.49,74.49,74.49,1,1,74.49
2020-03-30 09:30:22,74.49,74.49,74.49,74.49,0,0,74.49
2020-03-30 09:30:23,74.49,74.49,74.49,74.49,0,0,74.49
2020-03-30 09:30:24,74.49,74.49,74.49,74.49,0,0,74.49
2020-03-30 09:30:25,74.49,74.49,74.49,74.49,0,0,74.49
2020-03-30 09:30:26,74.5,74.54,74.49,74.54,19,18,74.504
2020-03-30 09:30:27,74.75,75.0,74.74,75.0,3,2,74.915
2020-03-30 09:30:28,74.98,74.99,74.98,74.99,4,4,74.985
2020-03-30 09:30:29,74.99,74.99,74.99,74.99,1,1,74.99
2020-03-30 09:30:30,74.99,74.99,74.54,74.99,5,4,74.781
2020-03-30 09:30:31,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:32,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:33,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:34,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:35,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:36,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:37,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:38,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:39,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:40,74.75,74.75,74.74,74.75,1,1,74.745
2020-03-30 09:30:41,74.75,74.75,74.74,74.75,0,0,74.75
2020-03-30 09:30:42,74.75,74.75,74.74,74.75,0,0,74.75
2020-03-30 09:30:43,74.75,74.75,74.74,74.75,0,0,74.75
2020-03-30 09:30:44,75.0,75.0,74.99,74.99,10,3,74.999
2020-03-30 09:30:45,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:46,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:47,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:48,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:49,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:50,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:51,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:52,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:53,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:54,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:55,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:56,74.99,74.99,74.99,74.99,0,0,74.99
2020-03-30 09:30:57,74.99,74.99,74.99,74.99,0,0,74.99
