datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,81.35,81.35,81.35,81.35,461,1,81.35
2020-03-30 09:30:01,81.31,81.31,81.31,81.31,1,1,81.31
2020-03-30 09:30:02,81.28,81.6,81.28,81.6,6,5,81.545
2020-03-30 09:30:03,81.49,81.55,81.49,81.49,6,4,81.504
2020-03-30 09:30:04,81.49,81.49,81.49,81.49,0,0,81.49
2020-03-30 09:30:05,81.5,81.5,81.5,81.5,4,4,81.5
2020-03-30 09:30:06,81.49,81.49,81.45,81.45,6,6,81.473
2020-03-30 09:30:07,81.45,81.45,81.45,81.45,0,0,81.45
2020-03-30 09:30:08,81.45,81.45,81.45,81.45,0,0,81.45
2020-03-30 09:30:09,81.45,81.45,81.45,81.45,0,0,81.45
2020-03-30 09:30:10,81.45,81.45,81.45,81.45,0,0,81.45
2020-03-30 09:30:11,81.47,81.53,81.47,81.53,4,3,81.485
2020-03-30 09:30:12,81.53,81.53,81.53,81.53,0,0,81.53
2020-03-30 09:30:13,81.53,81.53,81.53,81.53,0,0,81.53
2020-03-30 09:30:14,81.42,81.43,81.42,81.42,3,1,81.424
2020-03-30 09:30:15,81.65,81.65,81.65,81.65,1,1,81.65
2020-03-30 09:30:16,81.65,81.65,81.65,81.65,0,0,81.65
2020-03-30 09:30:17,81.65,81.65,81.65,81.65,0,0,81.65
2020-03-30 09:30:18,81.65,81.65,81.65,81.65,0,0,81.65
2020-03-30 09:30:19,81.65,81.65,81.65,81.65,0,0,81.65
2020-03-30 09:30:20,81.65,81.65,81.65,81.65,0,0,81.65
2020-03-30 09:30:21,81.65,81.65,81.65,81.65,0,0,81.65
2020-03-30 09:30:22,81.65,81.65,81.65,81.65,0,0,81.65
2020-03-30 09:30:23,81.65,81.65,81.65,81.65,0,0,81.65
2020-03-30 09:30:24,81.75,81.81,81.75,81.81,6,2,81.763
2020-03-30 09:30:25,81.81,81.81,81.81,81.81,0,0,81.81
2020-03-30 09:30:26,81.81,81.81,81.81,81.81,0,0,81.81
2020-03-30 09:30:27,81.81,81.81,81.81,81.81,0,0,81.81
2020-03-30 09:30:28,81.81,81.81,81.81,81.81,0,0,81.81
2020-03-30 09:30:29,81.81,81.81,81.81,81.81,0,0,81.81
2020-03-30 09:30:30,81.81,81.81,81.81,81.81,0,0,81.81
2020-03-30 09:30:31,81.69,81.7,81.69,81.69,2,1,81.692
2020-03-30 09:30:32,81.69,81.7,81.69,81.69,0,0,81.69
