datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,79.72,79.72,78.54,78.55,285,6,79.712
2020-03-30 09:30:01,79.15,79.15,78.61,78.61,3,3,78.933
2020-03-30 09:30:02,78.48,78.48,78.48,78.48,1,1,78.48
2020-03-30 09:30:03,78.48,78.48,78.48,78.48,0,0,78.48
2020-03-30 09:30:04,78.47,78.47,78.47,78.47,2,1,78.47
2020-03-30 09:30:05,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:06,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:07,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:08,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:09,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:10,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:11,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:12,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:13,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:14,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:15,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:16,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:17,78.47,78.47,78.47,78.47,0,0,78.47
2020-03-30 09:30:18,79.35,79.49,79.29,79.49,10,10,79.412
2020-03-30 09:30:19,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:20,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:21,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:22,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:23,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:24,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:25,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:26,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:27,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:28,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:29,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:30,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:31,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:32,79.49,79.49,79.49,79.49,0,0,79.49
2020-03-30 09:30:33,79.66,79.88,79.65,79.86,9,9,79.817
2020-03-30 09:30:34,79.86,79.86,79.86,79.86,0,0,79.86
2020-03-30 09:30:35,79.95,80.0,79.95,80.0,6,4,79.992
2020-03-30 09:30:36,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:37,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:38,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:39,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:40,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:41,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:42,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:43,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:44,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:45,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:46,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:47,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:48,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:49,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:50,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:51,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:52,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:53,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:54,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:55,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:56,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:57,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:58,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:30:59,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:31:00,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:31:01,80.0,80.0,80.0,80.0,0,0,80.0
2020-03-30 09:31:02,80.0,80.28,80.0,80.28,10,3,80.026
2020-03-30 09:31:03,80.28,80.28,80.28,80.28,0,0,80.28
2020-03-30 09:31:04,80.28,80.28,80.28,80.28,0,0,80.28
2020-03-30 09:31:05,80.28,80.28,80.28,80.28,0,0,80.28
2020-03-30 09:31:06,80.28,80.28,80.28,80.28,0,0,80.28
2020-03-30 09:31:07,80.28,80.28,80.28,80.28,0,0,80.28
2020-03-30 09:31:08,80.28,80.28,80.28,80.28,0,0,80.28
2020-03-30 09:31:09,80.28,80.28,80.28,80.28,0,0,80.28
2020-03-30 09:31:10,79.74,79.92,79.74,79.92,11,2,79.756
