datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,67.59,67.65,67.59,67.65,23,4,67.642
2020-03-30 09:30:01,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:02,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:03,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:04,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:05,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:06,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:07,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:08,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:09,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:10,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:11,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:12,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:13,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:14,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:15,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:16,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:17,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:18,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:19,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:20,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:21,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:22,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:23,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:24,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:25,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:26,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:27,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:28,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:29,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:30,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:31,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:32,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:33,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:34,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:35,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:36,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:37,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:38,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:39,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:40,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:41,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:42,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:43,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:44,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:45,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:46,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:47,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:48,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:49,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:50,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:51,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:52,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:53,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:54,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:55,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:56,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:57,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:58,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:30:59,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:00,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:01,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:02,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:03,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:04,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:05,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:06,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:07,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:08,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:09,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:10,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:11,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:12,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:13,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:14,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:15,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:16,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:17,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:18,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:19,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:20,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:21,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:22,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:23,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:24,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:25,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:26,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:27,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:28,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:29,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:30,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:31,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:32,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:33,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:34,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:35,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:36,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:37,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:38,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:39,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:40,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:41,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:42,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:43,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:44,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:45,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:46,67.65,67.65,67.65,67.65,0,0,67.65
2020-03-30 09:31:47,67.65,67.65,67.65,67.65,0,0,67.65
