datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,55.55,55.71,55.55,55.71,156,2,55.708
2020-03-30 09:30:01,55.45,55.53,55.37,55.52,7,7,55.48
2020-03-30 09:30:02,55.52,55.52,55.37,55.37,4,4,55.446
2020-03-30 09:30:03,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:04,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:05,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:06,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:07,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:08,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:09,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:10,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:11,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:12,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:13,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:14,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:15,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:16,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:17,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:18,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:19,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:20,55.37,55.37,55.37,55.37,0,0,55.37
2020-03-30 09:30:21,55.66,56.15,55.66,56.09,13,12,55.785
2020-03-30 09:30:22,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:23,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:24,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:25,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:26,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:27,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:28,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:29,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:30,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:31,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:32,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:33,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:34,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:35,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:36,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:37,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:38,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:39,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:40,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:41,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:42,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:43,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:44,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:45,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:46,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:47,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:48,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:49,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:50,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:51,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:52,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:53,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:54,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:55,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:56,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:57,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:58,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:30:59,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:31:00,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:31:01,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:31:02,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:31:03,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:31:04,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:31:05,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:31:06,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:31:07,56.09,56.09,56.09,56.09,0,0,56.09
2020-03-30 09:31:08,56.25,56.44,56.15,56.15,21,18,56.202
2020-03-30 09:31:09,56.07,56.07,56.07,56.07,5,5,56.07
2020-03-30 09:31:10,56.2,56.2,56.2,56.2,1,1,56.2
2020-03-30 09:31:11,56.2,56.2,56.2,56.2,0,0,56.2
2020-03-30 09:31:12,56.2,56.2,56.2,56.2,0,0,56.2
