datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,82.64,82.64,82.64,82.64,281,2,82.64
2020-03-30 09:30:01,82.64,82.64,82.64,82.64,0,0,82.64
2020-03-30 09:30:02,82.03,82.56,82.03,82.36,6,6,82.334
2020-03-30 09:30:03,82.41,82.46,82.41,82.46,3,3,82.43
2020-03-30 09:30:04,82.46,82.46,82.46,82.46,0,0,82.46
2020-03-30 09:30:05,82.46,82.46,82.46,82.46,1,1,82.46
2020-03-30 09:30:06,82.46,82.46,82.46,82.46,0,0,82.46
2020-03-30 09:30:07,82.46,82.46,82.46,82.46,0,0,82.46
2020-03-30 09:30:08,82.46,82.46,82.46,82.46,0,0,82.46
2020-03-30 09:30:09,82.46,82.46,82.46,82.46,0,0,82.46
2020-03-30 09:30:10,82.46,82.46,82.46,82.46,0,0,82.46
2020-03-30 09:30:11,82.46,82.46,82.46,82.46,0,0,82.46
2020-03-30 09:30:12,82.45,82.45,82.2,82.2,7,7,82.407
2020-03-30 09:30:13,82.2,82.2,82.2,82.2,0,0,82.2
2020-03-30 09:30:14,82.2,82.2,82.2,82.2,0,0,82.2
2020-03-30 09:30:15,82.45,82.45,82.45,82.45,13,11,82.45
2020-03-30 09:30:16,82.45,82.45,82.45,82.45,2,2,82.45
2020-03-30 09:30:17,82.45,82.45,82.45,82.45,0,0,82.45
2020-03-30 09:30:18,82.45,82.76,82.45,82.46,22,18,82.496
2020-03-30 09:30:19,82.76,82.76,82.75,82.76,5,5,82.758
2020-03-30 09:30:20,82.76,82.9,82.76,82.89,3,3,82.805
2020-03-30 09:30:21,82.89,82.9,82.89,82.89,0,0,82.89
2020-03-30 09:30:22,82.89,82.9,82.89,82.89,0,0,82.89
2020-03-30 09:30:23,82.89,82.9,82.89,82.89,0,0,82.89
2020-03-30 09:30:24,83.94,83.94,83.94,83.94,1,1,83.94
2020-03-30 09:30:25,83.94,83.94,83.94,83.94,0,0,83.94
2020-03-30 09:30:26,83.94,83.94,83.94,83.94,0,0,83.94
2020-03-30 09:30:27,83.94,83.94,83.94,83.94,0,0,83.94
2020-03-30 09:30:28,83.94,83.94,83.94,83.94,0,0,83.94
2020-03-30 09:30:29,83.94,83.94,83.94,83.94,0,0,83.94
2020-03-30 09:30:30,83.94,83.94,83.94,83.94,0,0,83.94
2020-03-30 09:30:31,83.94,83.94,83.94,83.94,0,0,83.94
2020-03-30 09:30:32,83.94,83.94,83.94,83.94,0,0,83.94
2020-03-30 09:30:33,83.94,83.94,83.94,83.94,0,0,83.94
2020-03-30 09:30:34,83.94,83.94,83.94,83.94,0,0,83.94
2020-03-30 09:30:35,83.46,83.79,83.46,83.79,2,2,83.625
2020-03-30 09:30:36,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:37,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:38,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:39,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:40,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:41,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:42,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:43,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:44,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:45,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:46,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:47,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:48,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:49,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:50,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:51,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:52,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:53,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:54,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:55,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:56,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:57,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:58,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:30:59,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:31:00,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:31:01,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:31:02,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:31:03,83.79,83.79,83.79,83.79,0,0,83.79
2020-03-30 09:31:04,82.87,82.88,82.87,82.87,1,1,82.873
2020-03-30 09:31:05,82.87,82.88,82.87,82.87,0,0,82.87
2020-03-30 09:31:06,82.87,82.88,82.87,82.87,0,0,82.87
2020-03-30 09:31:07,82.87,82.88,82.87,82.87,0,0,82.87
2020-03-30 09:31:08,83.23,83.23,83.22,83.23,1,1,83.225
2020-03-30 09:31:09,82.98,82.98,82.98,82.98,1,1,82.98
2020-03-30 09:31:10,82.98,82.98,82.98,82.98,0,0,82.98
2020-03-30 09:31:11,82.98,82.98,82.98,82.98,0,0,82.98
2020-03-30 09:31:12,82.98,82.98,82.98,82.98,0,0,82.98
2020-03-30 09:31:13,82.98,82.98,82.98,82.98,0,0,82.98
2020-03-30 09:31:14,82.98,82.98,82.98,82.98,0,0,82.98
2020-03-30 09:31:15,82.98,82.98,82.98,82.98,0,0,82.98
