datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,98.37,98.68,98.37,98.68,103,2,98.671
2020-03-30 09:30:01,98.68,98.68,98.68,98.68,0,0,98.68
2020-03-30 09:30:02,97.75,97.75,97.74,97.75,1,1,97.745
2020-03-30 09:30:03,98.74,98.74,98.74,98.74,2,1,98.74
2020-03-30 09:30:04,98.74,98.74,98.74,98.74,0,0,98.74
2020-03-30 09:30:05,98.74,98.74,98.74,98.74,0,0,98.74
2020-03-30 09:30:06,98.74,98.74,98.74,98.74,0,0,98.74
2020-03-30 09:30:07,98.74,98.74,98.74,98.74,0,0,98.74
2020-03-30 09:30:08,98.74,98.74,98.74,98.74,0,0,98.74
2020-03-30 09:30:09,98.74,98.74,98.74,98.74,0,0,98.74
2020-03-30 09:30:10,98.74,98.74,98.74,98.74,0,0,98.74
2020-03-30 09:30:11,98.73,99.26,98.7,99.26,17,17,98.791
2020-03-30 09:30:12,99.26,99.26,99.26,99.26,0,0,99.26
2020-03-30 09:30:13,98.85,98.85,98.79,98.79,2,2,98.82
2020-03-30 09:30:14,98.9,98.98,98.9,98.98,2,2,98.94
2020-03-30 09:30:15,99.02,99.26,99.02,99.26,2,2,99.14
2020-03-30 09:30:16,99.02,99.02,99.02,99.02,1,1,99.02
2020-03-30 09:30:17,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:18,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:19,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:20,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:21,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:22,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:23,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:24,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:25,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:26,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:27,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:28,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:29,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:30,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:31,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:32,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:33,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:34,99.02,99.02,99.02,99.02,0,0,99.02
2020-03-30 09:30:35,99.24,99.24,99.24,99.24,1,1,99.24
2020-03-30 09:30:36,99.24,99.24,99.24,99.24,0,0,99.24
2020-03-30 09:30:37,99.24,99.24,99.24,99.24,0,0,99.24
2020-03-30 09:30:38,99.24,99.24,99.24,99.24,0,0,99.24
2020-03-30 09:30:39,99.24,99.24,99.24,99.24,0,0,99.24
2020-03-30 09:30:40,99.24,99.24,99.24,99.24,0,0,99.24
2020-03-30 09:30:41,99.13,99.13,99.12,99.13,1,1,99.125
2020-03-30 09:30:42,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:43,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:44,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:45,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:46,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:47,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:48,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:49,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:50,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:51,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:52,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:53,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:54,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:55,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:56,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:57,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:58,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:30:59,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:31:00,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:31:01,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:31:02,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:31:03,99.13,99.13,99.12,99.13,0,0,99.13
2020-03-30 09:31:04,99.29,99.29,99.29,99.29,3,3,99.29
2020-03-30 09:31:05,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:06,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:07,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:08,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:09,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:10,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:11,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:12,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:13,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:14,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:15,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:16,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:17,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:18,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:19,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:20,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:21,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:22,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:23,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:24,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:25,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:26,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:27,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:28,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:29,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:30,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:31,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:32,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:33,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:34,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:35,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:36,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:37,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:38,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:39,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:40,99.29,99.29,99.29,99.29,0,0,99.29
2020-03-30 09:31:41,99.47,99.47,99.46,99.47,3,1,99.468
2020-03-30 09:31:42,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:43,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:44,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:45,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:46,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:47,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:48,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:49,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:50,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:51,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:52,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:53,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:54,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:55,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:56,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:57,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:58,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:31:59,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:00,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:01,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:02,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:03,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:04,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:05,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:06,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:07,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:08,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:09,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:10,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:11,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:12,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:13,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:14,99.47,99.47,99.46,99.47,0,0,99.47
2020-03-30 09:32:15,99.47,99.47,99.46,99.47,0,0,99.47
