datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,58.75,58.75,58.75,58.75,147,1,58.75
2020-03-30 09:30:01,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:02,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:03,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:04,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:05,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:06,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:07,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:08,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:09,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:10,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:11,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:12,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:13,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:14,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:15,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:16,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:17,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:18,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:19,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:20,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:21,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:22,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:23,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:24,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:25,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:26,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:27,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:28,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:29,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:30,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:31,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:32,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:33,58.75,58.75,58.75,58.75,0,0,58.75
2020-03-30 09:30:34,58.72,58.79,58.67,58.79,3,3,58.73
2020-03-30 09:30:35,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:36,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:37,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:38,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:39,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:40,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:41,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:42,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:43,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:44,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:45,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:46,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:47,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:48,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:49,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:50,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:51,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:52,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:53,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:54,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:55,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:56,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:57,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:58,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:30:59,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:00,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:01,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:02,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:03,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:04,58.16,58.17,58.16,58.16,3,3,58.163
2020-03-30 09:31:05,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:06,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:07,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:08,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:09,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:10,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:11,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:12,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:13,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:14,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:15,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:16,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:17,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:18,58.16,58.16,58.16,58.16,0,0,58.16
2020-03-30 09:31:19,58.73,58.79,58.73,58.79,4,3,58.776
2020-03-30 09:31:20,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:21,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:22,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:23,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:24,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:25,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:26,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:27,58.79,58.79,58.79,58.79,0,0,58.79
2020-03-30 09:31:28,58.79,58.79,58.79,58.79,0,0,58.79
