datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,39.19,39.19,39.19,39.19,220,1,39.19
2020-03-30 09:30:01,38.87,38.88,38.82,38.82,14,10,38.84
2020-03-30 09:30:02,38.82,38.82,38.82,38.82,0,0,38.82
2020-03-30 09:30:03,38.82,38.82,38.82,38.82,0,0,38.82
2020-03-30 09:30:04,38.82,38.82,38.82,38.82,0,0,38.82
2020-03-30 09:30:05,38.82,38.82,38.82,38.82,0,0,38.82
2020-03-30 09:30:06,38.82,38.82,38.82,38.82,0,0,38.82
2020-03-30 09:30:07,38.82,38.82,38.82,38.82,0,0,38.82
2020-03-30 09:30:08,39.03,39.03,39.02,39.03,2,1,39.026
2020-03-30 09:30:09,39.03,39.03,39.02,39.03,0,0,39.03
2020-03-30 09:30:10,39.03,39.03,39.02,39.03,0,0,39.03
2020-03-30 09:30:11,39.03,39.03,39.02,39.03,0,0,39.03
2020-03-30 09:30:12,39.03,39.03,39.02,39.03,0,0,39.03
2020-03-30 09:30:13,38.85,38.85,38.85,38.85,1,1,38.85
2020-03-30 09:30:14,38.85,38.85,38.85,38.85,0,0,38.85
2020-03-30 09:30:15,38.85,38.85,38.85,38.85,0,0,38.85
2020-03-30 09:30:16,38.85,38.85,38.85,38.85,0,0,38.85
2020-03-30 09:30:17,38.85,38.85,38.85,38.85,0,0,38.85
2020-03-30 09:30:18,38.85,38.85,38.85,38.85,0,0,38.85
2020-03-30 09:30:19,38.85,38.85,38.85,38.85,0,0,38.85
2020-03-30 09:30:20,38.85,38.85,38.85,38.85,0,0,38.85
2020-03-30 09:30:21,38.85,38.85,38.85,38.85,0,0,38.85
2020-03-30 09:30:22,38.85,38.85,38.85,38.85,0,0,38.85
2020-03-30 09:30:23,38.85,38.85,38.85,38.85,0,0,38.85
2020-03-30 09:30:24,39.07,39.07,39.07,39.07,1,1,39.07
2020-03-30 09:30:25,38.95,38.95,38.95,38.95,1,1,38.95
2020-03-30 09:30:26,38.95,38.95,38.95,38.95,0,0,38.95
2020-03-30 09:30:27,39.05,39.1,39.05,39.1,8,8,39.072
2020-03-30 09:30:28,39.11,39.11,39.11,39.11,1,1,39.11
2020-03-30 09:30:29,39.11,39.11,39.06,39.06,4,4,39.072
2020-03-30 09:30:30,39.06,39.06,39.06,39.06,1,1,39.06
2020-03-30 09:30:31,39.06,39.06,39.06,39.06,0,0,39.06
2020-03-30 09:30:32,39.06,39.06,39.06,39.06,0,0,39.06
2020-03-30 09:30:33,39.06,39.06,39.06,39.06,0,0,39.06
2020-03-30 09:30:34,39.12,39.23,39.06,39.23,10,10,39.126
2020-03-30 09:30:35,39.19,39.19,39.19,39.19,1,1,39.19
2020-03-30 09:30:36,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:37,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:38,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:39,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:40,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:41,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:42,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:43,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:44,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:45,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:46,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:47,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:48,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:49,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:50,39.19,39.19,39.19,39.19,0,0,39.19
2020-03-30 09:30:51,39.19,39.19,39.19,39.19,0,0,39.19
