datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,91.35,91.35,91.35,91.35,28,1,91.35
2020-03-30 09:30:01,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:02,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:03,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:04,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:05,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:06,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:07,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:08,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:09,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:10,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:11,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:12,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:13,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:14,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:15,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:16,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:17,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:18,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:19,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:20,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:21,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:22,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:23,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:24,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:25,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:26,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:27,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:28,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:29,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:30,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:31,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:32,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:33,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:34,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:35,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:36,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:37,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:38,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:39,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:40,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:41,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:42,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:43,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:44,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:45,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:46,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:47,91.35,91.35,91.35,91.35,0,0,91.35
2020-03-30 09:30:48,91.35,91.35,91.35,91.35,0,0,91.35
