datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,139.63,139.63,139.63,139.63,16,1,139.63
2020-03-30 09:30:01,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:02,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:03,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:04,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:05,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:06,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:07,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:08,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:09,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:10,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:11,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:12,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:13,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:14,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:15,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:16,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:17,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:18,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:19,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:20,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:21,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:22,139.63,139.63,139.63,139.63,0,0,139.63
2020-03-30 09:30:23,141.29,141.29,141.29,141.29,1,1,141.29
2020-03-30 09:30:24,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:25,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:26,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:27,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:28,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:29,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:30,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:31,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:32,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:33,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:34,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:35,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:36,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:37,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:38,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:39,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:40,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:41,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:42,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:43,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:44,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:45,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:46,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:47,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:48,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:49,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:50,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:51,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:52,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:53,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:54,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:55,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:56,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:57,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:58,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:30:59,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:00,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:01,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:02,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:03,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:04,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:05,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:06,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:07,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:08,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:09,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:10,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:11,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:12,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:13,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:14,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:15,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:16,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:17,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:18,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:19,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:20,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:21,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:22,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:23,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:24,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:25,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:26,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:27,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:28,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:29,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:30,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:31,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:32,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:33,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:34,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:35,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:36,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:37,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:38,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:39,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:40,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:41,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:42,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:43,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:44,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:45,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:46,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:47,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:48,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:49,141.29,141.29,141.29,141.29,0,0,141.29
2020-03-30 09:31:50,141.75,141.75,141.75,141.75,1,1,141.75
2020-03-30 09:31:51,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:31:52,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:31:53,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:31:54,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:31:55,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:31:56,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:31:57,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:31:58,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:31:59,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:00,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:01,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:02,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:03,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:04,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:05,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:06,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:07,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:08,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:09,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:10,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:11,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:12,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:13,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:14,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:15,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:16,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:17,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:18,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:19,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:20,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:21,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:22,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:23,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:24,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:25,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:26,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:27,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:28,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:29,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:30,141.75,141.75,141.75,141.75,0,0,141.75
2020-03-30 09:32:31,141.75,141.75,141.75,141.75,0,0,141.75
