Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"NEE","NEXTERA ENERGY INC","Equity","13.33","241.14","488,863.00","117,884,423.82","117,884,423.82","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","7.16","76.91","823,242.00","63,315,542.22","63,315,542.22","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","7.02","85.12","729,164.00","62,066,439.68","62,066,439.68","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","6.74","56.80","1,048,923.00","59,578,826.40","59,578,826.40","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","4.64","83.02","494,040.00","41,015,200.80","41,015,200.80","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","4.00","125.50","281,947.00","35,384,348.50","35,384,348.50","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","3.99","36.32","972,284.00","35,313,354.88","35,313,354.88","Utilities","2670519","US30161N1019","NASDAQ"
"XEL","XCEL ENERGY INC","Equity","3.82","64.38","524,483.00","33,766,215.54","33,766,215.54","Utilities","2614807","US98389B1008","NASDAQ"
"WEC","WEC ENERGY GROUP INC","Equity","3.37","94.39","315,492.00","29,779,289.88","29,779,289.88","Utilities","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","3.17","86.56","323,819.00","28,029,772.64","28,029,772.64","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","3.07","81.78","332,490.00","27,191,032.20","27,191,032.20","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","2.88","50.37","505,817.00","25,478,002.29","25,478,002.29","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
