datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,48.06,48.06,48.06,48.06,0,0,48.06
2020-03-30 09:30:01,48.37,48.37,48.12,48.12,113,2,48.368
2020-03-30 09:30:02,48.12,48.12,48.12,48.12,0,0,48.12
2020-03-30 09:30:03,48.04,48.12,48.04,48.12,8,8,48.09
2020-03-30 09:30:04,48.27,48.27,47.99,48.16,8,8,48.152
2020-03-30 09:30:05,48.27,48.27,48.17,48.17,2,2,48.22
2020-03-30 09:30:06,48.26,48.26,48.17,48.18,2,2,48.217
2020-03-30 09:30:07,48.27,48.27,48.17,48.18,9,9,48.233
2020-03-30 09:30:08,48.19,48.19,48.19,48.19,1,1,48.19
2020-03-30 09:30:09,48.26,48.26,48.19,48.2,7,7,48.224
2020-03-30 09:30:10,48.24,48.24,48.2,48.2,4,4,48.227
2020-03-30 09:30:11,48.2,48.31,48.2,48.29,18,17,48.253
2020-03-30 09:30:12,48.31,48.32,48.31,48.32,3,3,48.317
2020-03-30 09:30:13,48.32,48.32,48.32,48.32,0,0,48.32
2020-03-30 09:30:14,48.32,48.32,48.32,48.32,0,0,48.32
2020-03-30 09:30:15,48.63,48.63,48.18,48.18,6,4,48.387
2020-03-30 09:30:16,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:17,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:18,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:19,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:20,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:21,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:22,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:23,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:24,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:25,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:26,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:27,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:28,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:29,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:30,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:31,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:32,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:33,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:34,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:35,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:36,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:37,48.18,48.19,48.18,48.18,0,0,48.18
2020-03-30 09:30:38,48.18,48.19,48.18,48.18,0,0,48.18
