datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,22.0,22.0,22.0,22.0,183,1,22.0
2020-03-30 09:30:01,21.89,21.89,21.89,21.89,1,1,21.89
2020-03-30 09:30:02,21.89,21.89,21.89,21.89,0,0,21.89
2020-03-30 09:30:03,21.89,21.89,21.89,21.89,0,0,21.89
2020-03-30 09:30:04,21.89,21.89,21.89,21.89,0,0,21.89
2020-03-30 09:30:05,21.89,21.89,21.89,21.89,0,0,21.89
2020-03-30 09:30:06,21.89,21.89,21.89,21.89,0,0,21.89
2020-03-30 09:30:07,21.89,21.89,21.89,21.89,0,0,21.89
2020-03-30 09:30:08,21.89,21.89,21.89,21.89,0,0,21.89
2020-03-30 09:30:09,21.89,21.89,21.89,21.89,0,0,21.89
2020-03-30 09:30:10,22.15,22.15,22.15,22.15,2,1,22.15
2020-03-30 09:30:11,22.15,22.15,22.15,22.15,0,0,22.15
2020-03-30 09:30:12,22.15,22.15,22.15,22.15,0,0,22.15
2020-03-30 09:30:13,22.15,22.15,22.15,22.15,0,0,22.15
2020-03-30 09:30:14,22.15,22.15,22.15,22.15,0,0,22.15
2020-03-30 09:30:15,22.15,22.15,22.15,22.15,0,0,22.15
2020-03-30 09:30:16,22.15,22.15,22.15,22.15,0,0,22.15
2020-03-30 09:30:17,22.15,22.15,22.15,22.15,0,0,22.15
2020-03-30 09:30:18,22.15,22.15,22.14,22.15,1,1,22.15
2020-03-30 09:30:19,22.15,22.15,22.14,22.15,0,0,22.15
2020-03-30 09:30:20,22.15,22.15,22.14,22.15,0,0,22.15
2020-03-30 09:30:21,22.15,22.15,22.14,22.15,0,0,22.15
2020-03-30 09:30:22,22.15,22.15,22.14,22.15,0,0,22.15
2020-03-30 09:30:23,22.15,22.15,22.14,22.15,0,0,22.15
2020-03-30 09:30:24,22.15,22.15,22.14,22.15,0,0,22.15
2020-03-30 09:30:25,22.15,22.15,22.14,22.15,0,0,22.15
2020-03-30 09:30:26,22.15,22.15,22.14,22.15,0,0,22.15
2020-03-30 09:30:27,22.15,22.15,22.14,22.15,0,0,22.15
