datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,237.31,237.31,235.45,235.8,376,3,237.301
2020-03-30 09:30:01,236.06,237.98,236.06,237.98,4,2,236.54
2020-03-30 09:30:02,236.06,237.97,234.36,237.2,23,7,236.219
2020-03-30 09:30:03,237.5,237.65,237.38,237.65,4,4,237.55
2020-03-30 09:30:04,237.65,237.65,237.65,237.65,0,0,237.65
2020-03-30 09:30:05,237.64,237.64,237.57,237.57,2,2,237.613
2020-03-30 09:30:06,237.57,237.57,237.57,237.57,0,0,237.57
2020-03-30 09:30:07,237.57,237.57,237.57,237.57,0,0,237.57
2020-03-30 09:30:08,237.64,237.64,237.64,237.64,1,1,237.64
2020-03-30 09:30:09,237.64,237.64,237.64,237.64,0,0,237.64
2020-03-30 09:30:10,237.64,237.64,237.64,237.64,0,0,237.64
2020-03-30 09:30:11,237.64,237.64,237.64,237.64,0,0,237.64
2020-03-30 09:30:12,237.64,237.64,237.64,237.64,0,0,237.64
2020-03-30 09:30:13,237.54,237.54,236.39,236.39,2,2,236.965
2020-03-30 09:30:14,236.39,236.39,236.39,236.39,0,0,236.39
2020-03-30 09:30:15,236.39,236.39,236.39,236.39,0,0,236.39
2020-03-30 09:30:16,235.22,235.22,235.21,235.22,2,1,235.215
2020-03-30 09:30:17,237.54,238.0,236.39,237.75,20,14,237.587
2020-03-30 09:30:18,238.47,238.78,238.47,238.78,2,2,238.625
2020-03-30 09:30:19,238.78,238.78,238.78,238.78,0,0,238.78
2020-03-30 09:30:20,239.62,239.62,239.62,239.62,1,1,239.62
2020-03-30 09:30:21,239.62,239.62,239.62,239.62,0,0,239.62
2020-03-30 09:30:22,238.9,238.9,238.89,238.9,1,1,238.895
2020-03-30 09:30:23,238.9,238.9,238.89,238.9,0,0,238.9
2020-03-30 09:30:24,238.9,238.9,238.89,238.9,0,0,238.9
2020-03-30 09:30:25,238.9,238.9,238.89,238.9,0,0,238.9
2020-03-30 09:30:26,238.9,238.9,238.89,238.9,0,0,238.9
2020-03-30 09:30:27,238.9,238.9,238.89,238.9,0,0,238.9
2020-03-30 09:30:28,238.9,239.72,238.9,239.72,3,3,239.172
2020-03-30 09:30:29,239.72,239.72,239.71,239.72,0,0,239.72
2020-03-30 09:30:30,238.91,238.91,238.9,238.91,1,1,238.905
2020-03-30 09:30:31,239.0,239.0,238.91,238.92,2,2,238.957
2020-03-30 09:30:32,238.92,238.92,238.91,238.92,0,0,238.92
2020-03-30 09:30:33,238.92,238.92,238.91,238.92,0,0,238.92
2020-03-30 09:30:34,239.72,239.72,239.68,239.68,3,2,239.707
2020-03-30 09:30:35,238.9,238.9,238.89,238.9,1,1,238.895
2020-03-30 09:30:36,238.9,238.9,238.89,238.9,0,0,238.9
2020-03-30 09:30:37,238.9,238.9,238.89,238.9,0,0,238.9
2020-03-30 09:30:38,238.9,238.9,238.89,238.9,0,0,238.9
2020-03-30 09:30:39,239.61,239.61,239.61,239.61,1,1,239.61
2020-03-30 09:30:40,239.22,239.66,239.22,239.66,7,2,239.281
2020-03-30 09:30:41,239.66,239.66,239.66,239.66,0,0,239.66
2020-03-30 09:30:42,238.92,239.66,238.77,238.77,7,7,239.011
2020-03-30 09:30:43,239.68,239.69,239.68,239.68,1,1,239.681
2020-03-30 09:30:44,239.68,239.69,239.68,239.68,0,0,239.68
2020-03-30 09:30:45,238.91,238.91,238.71,238.71,3,3,238.777
2020-03-30 09:30:46,238.71,238.71,238.71,238.71,0,0,238.71
2020-03-30 09:30:47,239.65,239.71,239.65,239.71,5,2,239.698
2020-03-30 09:30:48,239.71,239.71,239.71,239.71,0,0,239.71
2020-03-30 09:30:49,239.71,239.71,239.71,239.71,1,1,239.71
2020-03-30 09:30:50,239.71,239.71,239.71,239.71,2,1,239.71
2020-03-30 09:30:51,239.71,239.71,239.71,239.71,0,0,239.71
2020-03-30 09:30:52,239.71,239.71,239.71,239.71,1,1,239.71
2020-03-30 09:30:53,239.71,240.0,239.71,240.0,4,3,239.929
2020-03-30 09:30:54,240.83,240.83,240.83,240.83,1,1,240.83
2020-03-30 09:30:55,240.14,240.14,239.9,239.9,2,2,240.02
2020-03-30 09:30:56,239.9,239.9,239.9,239.9,0,0,239.9
2020-03-30 09:30:57,240.42,240.42,240.42,240.42,1,1,240.42
2020-03-30 09:30:58,240.42,240.42,240.42,240.42,0,0,240.42
2020-03-30 09:30:59,240.42,240.42,240.42,240.42,0,0,240.42
2020-03-30 09:31:00,240.43,240.81,240.43,240.81,2,2,240.62
2020-03-30 09:31:01,240.81,240.81,240.81,240.81,0,0,240.81
2020-03-30 09:31:02,240.56,240.59,240.14,240.35,14,12,240.291
2020-03-30 09:31:03,240.34,240.34,240.13,240.13,2,2,240.235
2020-03-30 09:31:04,240.24,241.46,239.5,241.46,9,9,240.048
2020-03-30 09:31:05,239.47,239.47,239.25,239.25,3,3,239.36
2020-03-30 09:31:06,239.45,239.48,238.75,239.48,5,3,239.035
2020-03-30 09:31:07,239.48,239.48,239.47,239.48,0,0,239.48
2020-03-30 09:31:08,239.48,239.48,239.47,239.48,0,0,239.48
2020-03-30 09:31:09,239.48,239.48,239.47,239.48,0,0,239.48
2020-03-30 09:31:10,239.46,239.46,239.46,239.46,1,1,239.46
2020-03-30 09:31:11,240.17,240.17,240.16,240.17,1,1,240.169
