datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,35.33,35.46,35.2,35.46,98,3,35.456
2020-03-30 09:30:01,36.0,36.0,36.0,36.0,1,1,36.0
2020-03-30 09:30:02,35.18,35.18,35.18,35.18,1,1,35.18
2020-03-30 09:30:03,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:04,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:05,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:06,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:07,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:08,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:09,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:10,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:11,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:12,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:13,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:14,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:15,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:16,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:17,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:18,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:19,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:20,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:21,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:22,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:23,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:24,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:25,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:26,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:27,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:28,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:29,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:30,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:31,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:32,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:33,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:34,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:35,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:36,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:37,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:38,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:39,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:40,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:41,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:42,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:43,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:44,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:45,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:46,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:47,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:48,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:49,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:50,35.18,35.18,35.18,35.18,0,0,35.18
2020-03-30 09:30:51,35.32,35.32,35.13,35.13,5,5,35.206
2020-03-30 09:30:52,35.13,35.13,35.13,35.13,0,0,35.13
2020-03-30 09:30:53,35.13,35.13,35.13,35.13,0,0,35.13
2020-03-30 09:30:54,35.13,35.13,35.13,35.13,0,0,35.13
2020-03-30 09:30:55,35.13,35.13,35.13,35.13,0,0,35.13
2020-03-30 09:30:56,35.13,35.13,35.13,35.13,0,0,35.13
2020-03-30 09:30:57,35.13,35.13,35.13,35.13,0,0,35.13
