datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,25.14,25.14,25.14,25.14,283,1,25.14
2020-03-30 09:30:01,24.79,24.79,24.79,24.79,1,1,24.79
2020-03-30 09:30:02,24.73,24.73,24.72,24.72,2,2,24.722
2020-03-30 09:30:03,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:04,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:05,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:06,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:07,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:08,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:09,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:10,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:11,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:12,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:13,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:14,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:15,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:16,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:17,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:18,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:19,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:20,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:21,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:22,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:23,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:24,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:25,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:26,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:27,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:28,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:29,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:30,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:31,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:32,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:33,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:34,24.72,24.72,24.72,24.72,0,0,24.72
2020-03-30 09:30:35,25.03,25.06,25.03,25.06,15,7,25.033
2020-03-30 09:30:36,25.08,25.08,25.08,25.08,1,1,25.08
2020-03-30 09:30:37,25.1,25.12,25.06,25.12,10,8,25.1
2020-03-30 09:30:38,25.12,25.12,25.12,25.12,0,0,25.12
2020-03-30 09:30:39,25.12,25.12,25.12,25.12,0,0,25.12
2020-03-30 09:30:40,25.13,25.13,25.13,25.13,1,1,25.13
2020-03-30 09:30:41,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:42,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:43,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:44,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:45,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:46,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:47,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:48,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:49,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:50,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:51,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:52,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:53,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:54,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:55,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:56,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:57,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:58,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:30:59,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:31:00,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:31:01,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:31:02,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:31:03,25.13,25.13,25.13,25.13,0,0,25.13
2020-03-30 09:31:04,25.17,25.21,25.17,25.21,18,17,25.173
2020-03-30 09:31:05,25.21,25.21,25.21,25.21,0,0,25.21
2020-03-30 09:31:06,25.23,25.23,25.23,25.23,1,1,25.23
2020-03-30 09:31:07,25.37,25.37,25.37,25.37,1,1,25.37
2020-03-30 09:31:08,25.37,25.37,25.37,25.37,0,0,25.37
2020-03-30 09:31:09,25.37,25.37,25.37,25.37,0,0,25.37
2020-03-30 09:31:10,25.37,25.37,25.37,25.37,0,0,25.37
2020-03-30 09:31:11,25.37,25.37,25.37,25.37,0,0,25.37
2020-03-30 09:31:12,25.37,25.37,25.37,25.37,0,0,25.37
2020-03-30 09:31:13,25.37,25.37,25.37,25.37,0,0,25.37
2020-03-30 09:31:14,25.35,25.35,25.26,25.26,15,9,25.317
2020-03-30 09:31:15,25.26,25.26,25.26,25.26,0,0,25.26
2020-03-30 09:31:16,25.26,25.26,25.26,25.26,0,0,25.26
2020-03-30 09:31:17,25.26,25.26,25.26,25.26,0,0,25.26
2020-03-30 09:31:18,25.26,25.26,25.26,25.26,0,0,25.26
2020-03-30 09:31:19,25.26,25.26,25.26,25.26,0,0,25.26
2020-03-30 09:31:20,25.26,25.26,25.26,25.26,0,0,25.26
2020-03-30 09:31:21,25.26,25.26,25.26,25.26,0,0,25.26
2020-03-30 09:31:22,25.26,25.26,25.26,25.26,0,0,25.26
2020-03-30 09:31:23,25.29,25.31,25.29,25.31,8,4,25.292
2020-03-30 09:31:24,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:25,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:26,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:27,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:28,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:29,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:30,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:31,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:32,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:33,25.3,25.34,25.3,25.34,5,5,25.308
2020-03-30 09:31:34,25.31,25.31,25.31,25.31,2,1,25.31
2020-03-30 09:31:35,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:36,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:37,25.31,25.31,25.31,25.31,0,0,25.31
2020-03-30 09:31:38,25.31,25.31,25.31,25.31,0,0,25.31
