datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,32.89,32.89,32.89,32.89,73,1,32.89
2020-03-30 09:30:01,32.89,32.89,32.89,32.89,0,0,32.89
2020-03-30 09:30:02,33.21,33.21,33.21,33.21,1,1,33.21
2020-03-30 09:30:03,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:04,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:05,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:06,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:07,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:08,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:09,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:10,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:11,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:12,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:13,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:14,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:15,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:16,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:17,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:18,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:19,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:20,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:21,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:22,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:23,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:24,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:25,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:26,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:27,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:28,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:29,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:30,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:31,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:32,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:33,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:34,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:35,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:36,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:37,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:38,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:39,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:40,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:41,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:42,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:43,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:44,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:45,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:46,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:47,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:48,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:49,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:50,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:51,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:52,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:53,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:54,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:55,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:56,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:57,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:58,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:30:59,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:31:00,33.21,33.21,33.21,33.21,0,0,33.21
2020-03-30 09:31:01,33.0,33.0,33.0,33.0,1,1,33.0
2020-03-30 09:31:02,33.0,33.0,33.0,33.0,0,0,33.0
2020-03-30 09:31:03,33.0,33.0,33.0,33.0,0,0,33.0
2020-03-30 09:31:04,33.0,33.0,33.0,33.0,0,0,33.0
2020-03-30 09:31:05,32.69,32.69,32.68,32.69,2,1,32.687
2020-03-30 09:31:06,32.69,32.69,32.68,32.69,0,0,32.69
2020-03-30 09:31:07,32.69,32.69,32.68,32.69,0,0,32.69
2020-03-30 09:31:08,32.69,32.69,32.68,32.69,0,0,32.69
2020-03-30 09:31:09,32.69,32.69,32.68,32.69,0,0,32.69
2020-03-30 09:31:10,32.69,32.69,32.68,32.69,0,0,32.69
2020-03-30 09:31:11,32.69,32.69,32.68,32.69,0,0,32.69
2020-03-30 09:31:12,32.69,32.69,32.68,32.69,0,0,32.69
2020-03-30 09:31:13,32.69,32.69,32.68,32.69,0,0,32.69
