datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,29.65,29.65,29.65,29.65,190,1,29.65
2020-03-30 09:30:01,29.98,29.98,29.98,29.98,1,1,29.98
2020-03-30 09:30:02,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:03,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:04,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:05,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:06,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:07,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:08,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:09,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:10,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:11,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:12,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:13,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:14,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:15,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:16,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:17,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:18,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:19,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:20,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:21,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:22,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:23,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:24,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:25,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:26,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:27,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:28,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:29,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:30,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:31,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:32,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:33,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:34,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:35,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:36,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:37,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:38,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:39,29.98,29.98,29.98,29.98,0,0,29.98
2020-03-30 09:30:40,29.97,29.99,29.95,29.96,4,4,29.967
2020-03-30 09:30:41,29.99,30.0,29.99,29.99,3,3,29.993
2020-03-30 09:30:42,29.99,29.99,29.99,29.99,0,0,29.99
