datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,61.12,61.12,61.12,61.12,19,1,61.12
2020-03-30 09:30:01,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:02,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:03,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:04,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:05,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:06,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:07,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:08,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:09,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:10,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:11,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:12,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:13,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:14,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:15,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:16,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:17,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:18,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:19,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:20,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:21,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:22,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:23,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:24,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:25,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:26,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:27,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:28,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:29,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:30,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:31,61.12,61.12,61.12,61.12,0,0,61.12
2020-03-30 09:30:32,61.12,61.12,61.12,61.12,0,0,61.12
