datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,44.97,44.97,44.97,44.97,251,1,44.97
2020-03-30 09:30:01,44.8,44.8,44.8,44.8,1,1,44.8
2020-03-30 09:30:02,44.8,44.8,44.8,44.8,0,0,44.8
2020-03-30 09:30:03,44.76,44.76,44.76,44.76,15,1,44.76
2020-03-30 09:30:04,44.76,44.76,44.76,44.76,0,0,44.76
2020-03-30 09:30:05,44.76,44.76,44.76,44.76,0,0,44.76
2020-03-30 09:30:06,44.76,44.76,44.76,44.76,0,0,44.76
2020-03-30 09:30:07,44.76,44.76,44.76,44.76,0,0,44.76
2020-03-30 09:30:08,44.76,44.76,44.76,44.76,0,0,44.76
2020-03-30 09:30:09,44.76,44.76,44.76,44.76,0,0,44.76
2020-03-30 09:30:10,44.75,44.75,44.75,44.75,1,1,44.75
2020-03-30 09:30:11,44.75,44.75,44.75,44.75,0,0,44.75
2020-03-30 09:30:12,44.75,44.75,44.75,44.75,0,0,44.75
2020-03-30 09:30:13,44.75,44.75,44.75,44.75,0,0,44.75
2020-03-30 09:30:14,44.75,44.75,44.75,44.75,0,0,44.75
2020-03-30 09:30:15,44.75,44.75,44.75,44.75,0,0,44.75
2020-03-30 09:30:16,44.75,44.75,44.75,44.75,0,0,44.75
2020-03-30 09:30:17,44.88,44.88,44.87,44.88,1,1,44.875
2020-03-30 09:30:18,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:19,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:20,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:21,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:22,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:23,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:24,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:25,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:26,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:27,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:28,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:29,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:30,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:31,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:32,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:33,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:34,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:35,44.88,44.88,44.87,44.88,0,0,44.88
2020-03-30 09:30:36,44.88,44.88,44.87,44.88,0,0,44.88
