datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,40.18,40.18,40.18,40.18,25,1,40.18
2020-03-30 09:30:01,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:02,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:03,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:04,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:05,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:06,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:07,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:08,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:09,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:10,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:11,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:12,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:13,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:14,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:15,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:16,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:17,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:18,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:19,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:20,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:21,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:22,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:23,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:24,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:25,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:26,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:27,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:28,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:29,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:30,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:31,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:32,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:33,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:34,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:35,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:36,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:37,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:38,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:39,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:40,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:41,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:42,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:43,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:44,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:45,40.18,40.18,40.18,40.18,0,0,40.18
2020-03-30 09:30:46,40.02,40.02,40.02,40.02,2,2,40.02
2020-03-30 09:30:47,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:48,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:49,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:50,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:51,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:52,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:53,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:54,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:55,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:56,40.02,40.02,40.02,40.02,1,1,40.02
2020-03-30 09:30:57,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:58,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:30:59,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:00,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:01,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:02,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:03,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:04,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:05,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:06,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:07,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:08,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:09,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:10,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:11,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:12,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:13,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:14,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:15,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:16,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:17,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:18,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:19,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:20,40.02,40.02,40.02,40.02,0,0,40.02
2020-03-30 09:31:21,40.02,40.02,40.02,40.02,0,0,40.02
