datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,48.98,48.98,48.98,48.98,46,1,48.98
2020-03-30 09:30:01,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:02,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:03,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:04,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:05,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:06,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:07,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:08,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:09,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:10,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:11,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:12,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:13,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:14,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:15,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:16,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:17,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:18,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:19,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:20,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:21,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:22,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:23,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:24,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:25,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:26,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:27,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:28,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:29,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:30,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:31,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:32,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:33,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:34,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:35,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:36,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:37,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:38,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:39,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:40,48.98,48.98,48.98,48.98,0,0,48.98
2020-03-30 09:30:41,48.98,48.98,48.98,48.98,0,0,48.98
