datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,25.65,25.67,25.56,25.56,790,3,25.65
2020-03-30 09:30:01,25.75,25.75,25.74,25.74,3,3,25.747
2020-03-30 09:30:02,25.74,25.74,25.74,25.74,0,0,25.74
2020-03-30 09:30:03,25.6,25.6,25.6,25.6,8,1,25.6
2020-03-30 09:30:04,25.6,25.6,25.6,25.6,0,0,25.6
2020-03-30 09:30:05,25.6,25.6,25.6,25.6,0,0,25.6
2020-03-30 09:30:06,25.61,25.61,25.6,25.61,4,4,25.605
2020-03-30 09:30:07,25.61,25.61,25.61,25.61,0,0,25.61
2020-03-30 09:30:08,25.61,25.61,25.61,25.61,0,0,25.61
2020-03-30 09:30:09,25.61,25.61,25.61,25.61,0,0,25.61
2020-03-30 09:30:10,25.75,25.75,25.75,25.75,3,1,25.75
2020-03-30 09:30:11,25.66,25.66,25.66,25.66,1,1,25.66
2020-03-30 09:30:12,25.75,25.75,25.66,25.66,18,3,25.74
2020-03-30 09:30:13,25.75,25.75,25.74,25.75,3,1,25.747
2020-03-30 09:30:14,25.66,25.66,25.66,25.66,1,1,25.66
2020-03-30 09:30:15,25.66,25.66,25.66,25.66,0,0,25.66
2020-03-30 09:30:16,25.66,25.66,25.66,25.66,0,0,25.66
2020-03-30 09:30:17,25.66,25.66,25.66,25.66,0,0,25.66
2020-03-30 09:30:18,25.66,25.66,25.66,25.66,0,0,25.66
2020-03-30 09:30:19,25.72,25.72,25.72,25.72,1,1,25.72
2020-03-30 09:30:20,25.72,25.72,25.72,25.72,0,0,25.72
2020-03-30 09:30:21,25.72,25.72,25.72,25.72,0,0,25.72
2020-03-30 09:30:22,25.72,25.72,25.72,25.72,0,0,25.72
2020-03-30 09:30:23,25.72,25.72,25.72,25.72,0,0,25.72
2020-03-30 09:30:24,25.72,25.72,25.72,25.72,0,0,25.72
2020-03-30 09:30:25,25.72,25.72,25.72,25.72,0,0,25.72
2020-03-30 09:30:26,25.72,25.72,25.71,25.72,5,1,25.72
2020-03-30 09:30:27,25.72,25.72,25.71,25.72,0,0,25.72
2020-03-30 09:30:28,25.72,25.72,25.71,25.72,0,0,25.72
2020-03-30 09:30:29,25.72,25.72,25.71,25.72,0,0,25.72
2020-03-30 09:30:30,25.72,25.72,25.71,25.72,0,0,25.72
