datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,25.05,25.05,25.05,25.05,36,1,25.05
2020-03-30 09:30:01,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:02,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:03,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:04,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:05,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:06,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:07,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:08,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:09,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:10,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:11,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:12,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:13,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:14,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:15,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:16,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:17,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:18,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:19,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:20,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:21,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:22,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:23,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:24,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:25,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:26,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:27,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:28,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:29,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:30,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:31,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:32,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:33,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:34,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:35,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:36,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:37,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:38,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:39,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:40,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:41,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:42,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:43,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:44,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:45,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:46,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:47,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:48,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:49,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:50,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:51,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:52,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:53,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:54,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:55,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:56,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:57,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:58,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:30:59,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:00,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:01,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:02,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:03,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:04,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:05,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:06,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:07,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:08,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:09,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:10,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:11,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:12,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:13,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:14,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:15,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:16,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:17,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:18,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:19,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:20,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:21,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:22,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:23,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:24,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:25,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:26,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:27,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:28,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:29,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:30,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:31,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:32,25.05,25.05,25.05,25.05,0,0,25.05
2020-03-30 09:31:33,25.05,25.05,25.05,25.05,0,0,25.05
