datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,74.47,74.47,74.47,74.47,19,1,74.47
2020-03-30 09:30:01,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:02,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:03,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:04,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:05,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:06,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:07,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:08,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:09,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:10,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:11,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:12,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:13,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:14,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:15,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:16,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:17,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:18,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:19,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:20,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:21,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:22,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:23,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:24,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:25,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:26,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:27,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:28,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:29,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:30,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:31,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:32,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:33,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:34,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:35,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:36,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:37,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:38,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:39,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:40,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:41,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:42,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:43,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:44,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:45,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:46,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:47,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:48,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:49,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:50,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:51,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:52,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:53,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:54,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:55,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:56,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:57,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:58,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:30:59,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:00,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:01,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:02,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:03,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:04,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:05,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:06,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:07,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:08,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:09,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:10,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:11,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:12,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:13,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:14,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:15,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:16,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:17,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:18,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:19,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:20,74.47,74.47,74.47,74.47,0,0,74.47
2020-03-30 09:31:21,74.47,74.47,74.47,74.47,0,0,74.47
