datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,122.63,122.63,122.63,122.63,90,1,122.63
2020-03-30 09:30:01,122.62,123.85,122.62,123.85,2,2,123.235
2020-03-30 09:30:02,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:03,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:04,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:05,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:06,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:07,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:08,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:09,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:10,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:11,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:12,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:13,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:14,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:15,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:16,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:17,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:18,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:19,123.85,123.85,123.85,123.85,0,0,123.85
2020-03-30 09:30:20,122.95,122.96,122.95,122.95,3,1,122.952
2020-03-30 09:30:21,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:22,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:23,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:24,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:25,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:26,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:27,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:28,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:29,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:30,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:31,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:32,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:33,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:34,122.95,122.96,122.95,122.95,0,0,122.95
2020-03-30 09:30:35,123.72,123.73,123.72,123.72,10,10,123.721
2020-03-30 09:30:36,123.72,123.72,123.72,123.72,0,0,123.72
2020-03-30 09:30:37,123.72,123.72,123.72,123.72,0,0,123.72
2020-03-30 09:30:38,123.72,123.72,123.72,123.72,0,0,123.72
2020-03-30 09:30:39,123.72,123.72,123.72,123.72,0,0,123.72
2020-03-30 09:30:40,123.72,123.72,123.72,123.72,0,0,123.72
2020-03-30 09:30:41,123.68,123.69,123.35,123.35,3,2,123.584
2020-03-30 09:30:42,123.35,123.35,123.35,123.35,0,0,123.35
2020-03-30 09:30:43,123.35,123.35,123.35,123.35,0,0,123.35
2020-03-30 09:30:44,123.35,123.35,123.35,123.35,0,0,123.35
2020-03-30 09:30:45,123.61,123.91,123.61,123.91,7,7,123.844
2020-03-30 09:30:46,123.91,123.91,123.91,123.91,0,0,123.91
2020-03-30 09:30:47,123.91,123.91,123.91,123.91,0,0,123.91
2020-03-30 09:30:48,123.9,124.34,123.69,124.34,11,11,123.928
2020-03-30 09:30:49,124.44,124.44,124.44,124.44,1,1,124.44
2020-03-30 09:30:50,124.44,124.44,124.44,124.44,0,0,124.44
2020-03-30 09:30:51,124.44,124.44,124.44,124.44,0,0,124.44
2020-03-30 09:30:52,124.44,124.44,124.44,124.44,0,0,124.44
2020-03-30 09:30:53,124.44,124.44,124.44,124.44,0,0,124.44
2020-03-30 09:30:54,124.44,124.44,124.44,124.44,0,0,124.44
2020-03-30 09:30:55,124.44,124.44,124.44,124.44,0,0,124.44
2020-03-30 09:30:56,124.44,124.44,124.44,124.44,0,0,124.44
2020-03-30 09:30:57,124.44,124.44,124.44,124.44,0,0,124.44
2020-03-30 09:30:58,124.05,124.05,123.93,123.93,2,2,123.99
2020-03-30 09:30:59,123.93,123.93,123.93,123.93,0,0,123.93
2020-03-30 09:31:00,123.9,123.9,123.8,123.81,6,6,123.84
2020-03-30 09:31:01,123.81,123.81,123.81,123.81,0,0,123.81
2020-03-30 09:31:02,123.81,123.81,123.81,123.81,0,0,123.81
2020-03-30 09:31:03,123.81,123.81,123.81,123.81,0,0,123.81
2020-03-30 09:31:04,123.81,123.81,123.81,123.81,0,0,123.81
2020-03-30 09:31:05,123.81,123.81,123.81,123.81,0,0,123.81
2020-03-30 09:31:06,123.81,123.81,123.81,123.81,0,0,123.81
