datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,69.47,69.47,69.47,69.47,25,1,69.47
2020-03-30 09:30:01,69.5,69.5,69.44,69.46,12,3,69.492
2020-03-30 09:30:02,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:03,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:04,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:05,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:06,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:07,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:08,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:09,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:10,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:11,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:12,69.46,69.46,69.46,69.46,0,0,69.46
2020-03-30 09:30:13,70.67,70.67,70.67,70.67,1,1,70.67
2020-03-30 09:30:14,70.67,70.67,70.67,70.67,0,0,70.67
2020-03-30 09:30:15,70.67,70.67,70.67,70.67,0,0,70.67
2020-03-30 09:30:16,70.67,70.67,70.67,70.67,0,0,70.67
2020-03-30 09:30:17,70.67,70.67,70.67,70.67,0,0,70.67
2020-03-30 09:30:18,70.67,70.67,70.67,70.67,0,0,70.67
2020-03-30 09:30:19,70.67,70.67,70.67,70.67,0,0,70.67
2020-03-30 09:30:20,70.67,70.67,70.67,70.67,0,0,70.67
2020-03-30 09:30:21,69.7,69.7,69.69,69.7,1,1,69.695
2020-03-30 09:30:22,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:23,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:24,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:25,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:26,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:27,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:28,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:29,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:30,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:31,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:32,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:33,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:34,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:35,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:36,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:37,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:38,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:39,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:40,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:41,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:42,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:43,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:44,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:45,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:46,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:47,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:48,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:49,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:50,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:51,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:52,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:53,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:54,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:55,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:56,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:57,69.7,69.7,69.69,69.7,0,0,69.7
2020-03-30 09:30:58,69.7,69.7,69.69,69.7,0,0,69.7
