datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,26.42,26.42,26.42,26.42,255,1,26.42
2020-03-30 09:30:01,26.21,26.21,26.21,26.21,1,1,26.21
2020-03-30 09:30:02,26.21,26.21,26.21,26.21,0,0,26.21
2020-03-30 09:30:03,26.2,26.2,26.2,26.2,1,1,26.2
2020-03-30 09:30:04,26.2,26.2,26.2,26.2,0,0,26.2
2020-03-30 09:30:05,26.2,26.2,26.2,26.2,0,0,26.2
2020-03-30 09:30:06,26.2,26.2,26.2,26.2,0,0,26.2
2020-03-30 09:30:07,26.2,26.2,26.2,26.2,0,0,26.2
2020-03-30 09:30:08,26.2,26.2,26.2,26.2,0,0,26.2
2020-03-30 09:30:09,26.2,26.2,26.2,26.2,0,0,26.2
2020-03-30 09:30:10,26.58,26.58,26.58,26.58,3,1,26.58
2020-03-30 09:30:11,26.58,26.58,26.58,26.58,0,0,26.58
2020-03-30 09:30:12,26.58,26.58,26.58,26.58,0,0,26.58
2020-03-30 09:30:13,26.58,26.58,26.58,26.58,0,0,26.58
2020-03-30 09:30:14,26.58,26.58,26.58,26.58,0,0,26.58
2020-03-30 09:30:15,26.27,26.27,26.18,26.18,4,4,26.202
2020-03-30 09:30:16,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:17,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:18,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:19,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:20,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:21,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:22,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:23,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:24,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:25,26.27,26.27,26.18,26.18,7,7,26.212
2020-03-30 09:30:26,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:27,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:28,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:29,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:30,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:31,26.18,26.18,26.18,26.18,0,0,26.18
2020-03-30 09:30:32,26.3,26.3,26.17,26.17,13,9,26.199
2020-03-30 09:30:33,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:34,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:35,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:36,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:37,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:38,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:39,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:40,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:41,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:42,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:43,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:44,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:45,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:46,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:47,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:48,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:49,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:50,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:51,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:52,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:53,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:54,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:55,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:56,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:57,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:58,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:30:59,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:31:00,26.17,26.17,26.17,26.17,0,0,26.17
2020-03-30 09:31:01,26.45,26.45,26.45,26.45,1,1,26.45
2020-03-30 09:31:02,26.45,26.45,26.45,26.45,0,0,26.45
2020-03-30 09:31:03,26.45,26.45,26.45,26.45,0,0,26.45
2020-03-30 09:31:04,26.45,26.45,26.45,26.45,0,0,26.45
2020-03-30 09:31:05,26.45,26.45,26.45,26.45,0,0,26.45
2020-03-30 09:31:06,26.45,26.45,26.45,26.45,0,0,26.45
2020-03-30 09:31:07,26.45,26.45,26.45,26.45,0,0,26.45
2020-03-30 09:31:08,26.36,26.37,26.36,26.36,1,1,26.365
2020-03-30 09:31:09,26.36,26.37,26.36,26.36,0,0,26.36
2020-03-30 09:31:10,26.36,26.37,26.36,26.36,0,0,26.36
2020-03-30 09:31:11,26.36,26.37,26.36,26.36,0,0,26.36
