datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,16.49,16.49,16.49,16.49,244,1,16.49
2020-03-30 09:30:01,16.49,16.49,16.49,16.49,0,0,16.49
2020-03-30 09:30:02,16.49,16.49,16.49,16.49,4,1,16.49
2020-03-30 09:30:03,16.41,16.41,16.4,16.4,4,2,16.405
2020-03-30 09:30:04,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:05,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:06,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:07,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:08,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:09,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:10,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:11,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:12,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:13,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:14,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:15,16.43,16.44,16.37,16.39,32,23,16.397
2020-03-30 09:30:16,16.4,16.4,16.4,16.4,1,1,16.4
2020-03-30 09:30:17,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:18,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:19,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:20,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:21,16.4,16.4,16.4,16.4,0,0,16.4
2020-03-30 09:30:22,16.45,16.45,16.45,16.45,4,4,16.45
2020-03-30 09:30:23,16.45,16.45,16.45,16.45,0,0,16.45
2020-03-30 09:30:24,16.45,16.45,16.45,16.45,0,0,16.45
2020-03-30 09:30:25,16.48,16.48,16.47,16.48,1,1,16.475
2020-03-30 09:30:26,16.48,16.48,16.45,16.45,9,2,16.453
2020-03-30 09:30:27,16.45,16.45,16.45,16.45,0,0,16.45
