datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,90.61,90.61,90.61,90.61,157,1,90.61
2020-03-30 09:30:01,90.98,90.98,90.98,90.98,1,1,90.98
2020-03-30 09:30:02,90.98,90.98,90.98,90.98,1,1,90.98
2020-03-30 09:30:03,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:04,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:05,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:06,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:07,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:08,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:09,90.98,90.98,90.98,90.98,2,2,90.98
2020-03-30 09:30:10,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:11,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:12,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:13,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:14,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:15,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:16,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:17,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:18,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:19,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:20,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:21,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:22,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:23,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:24,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:25,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:26,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:27,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:28,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:29,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:30,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:31,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:32,90.98,90.98,90.98,90.98,0,0,90.98
2020-03-30 09:30:33,90.76,91.47,90.76,91.47,8,8,91.292
2020-03-30 09:30:34,91.18,91.99,91.18,91.68,3,3,91.617
2020-03-30 09:30:35,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:36,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:37,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:38,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:39,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:40,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:41,91.51,91.68,91.5,91.68,5,2,91.538
2020-03-30 09:30:42,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:43,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:44,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:45,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:46,91.68,91.68,91.68,91.68,0,0,91.68
2020-03-30 09:30:47,91.68,91.68,91.68,91.68,0,0,91.68
