datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,40.98,40.98,40.98,40.98,140,1,40.98
2020-03-30 09:30:01,40.98,40.98,40.98,40.98,0,0,40.98
2020-03-30 09:30:02,40.52,40.53,40.52,40.52,1,1,40.525
2020-03-30 09:30:03,40.52,40.53,40.52,40.52,0,0,40.52
2020-03-30 09:30:04,40.52,40.53,40.52,40.52,0,0,40.52
2020-03-30 09:30:05,40.52,40.53,40.52,40.52,0,0,40.52
2020-03-30 09:30:06,40.52,40.53,40.52,40.52,0,0,40.52
2020-03-30 09:30:07,40.52,40.53,40.52,40.52,0,0,40.52
2020-03-30 09:30:08,40.52,40.53,40.52,40.52,0,0,40.52
2020-03-30 09:30:09,40.52,40.53,40.52,40.52,0,0,40.52
2020-03-30 09:30:10,41.03,41.08,41.03,41.08,13,8,41.071
2020-03-30 09:30:11,41.08,41.08,41.08,41.08,0,0,41.08
2020-03-30 09:30:12,41.08,41.08,41.08,41.08,0,0,41.08
2020-03-30 09:30:13,41.19,41.3,41.16,41.3,3,3,41.217
2020-03-30 09:30:14,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:15,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:16,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:17,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:18,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:19,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:20,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:21,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:22,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:23,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:24,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:25,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:26,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:27,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:28,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:29,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:30,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:31,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:32,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:33,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:34,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:35,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:36,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:37,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:38,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:39,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:40,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:41,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:42,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:43,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:44,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:45,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:46,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:47,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:48,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:49,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:50,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:51,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:52,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:53,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:54,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:55,41.3,41.3,41.3,41.3,0,0,41.3
2020-03-30 09:30:56,41.24,41.31,41.24,41.31,4,4,41.29
2020-03-30 09:30:57,41.31,41.31,41.31,41.31,0,0,41.31
2020-03-30 09:30:58,41.31,41.31,41.31,41.31,0,0,41.31
2020-03-30 09:30:59,41.31,41.31,41.31,41.31,0,0,41.31
2020-03-30 09:31:00,41.31,41.31,41.31,41.31,0,0,41.31
2020-03-30 09:31:01,41.31,41.31,41.31,41.31,0,0,41.31
