datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,59.98,59.98,59.92,59.92,365,2,59.921
2020-03-30 09:30:01,59.34,59.34,59.16,59.16,4,2,59.271
2020-03-30 09:30:02,59.91,59.91,59.66,59.91,29,12,59.787
2020-03-30 09:30:03,59.91,59.91,59.9,59.91,0,0,59.91
2020-03-30 09:30:04,60.7,61.01,60.7,60.74,19,5,60.776
2020-03-30 09:30:05,60.74,60.74,60.74,60.74,0,0,60.74
2020-03-30 09:30:06,60.74,60.74,60.74,60.74,0,0,60.74
2020-03-30 09:30:07,60.74,60.74,60.74,60.74,0,0,60.74
2020-03-30 09:30:08,60.74,60.74,60.74,60.74,0,0,60.74
2020-03-30 09:30:09,60.74,60.74,60.74,60.74,0,0,60.74
2020-03-30 09:30:10,60.74,60.74,60.74,60.74,0,0,60.74
2020-03-30 09:30:11,60.33,60.33,60.33,60.33,1,1,60.33
2020-03-30 09:30:12,60.33,60.33,60.33,60.33,0,0,60.33
2020-03-30 09:30:13,60.33,60.33,60.33,60.33,0,0,60.33
2020-03-30 09:30:14,60.33,60.33,60.33,60.33,0,0,60.33
2020-03-30 09:30:15,60.33,60.33,60.33,60.33,0,0,60.33
2020-03-30 09:30:16,60.32,60.32,60.32,60.32,1,1,60.32
2020-03-30 09:30:17,60.32,60.32,60.32,60.32,0,0,60.32
2020-03-30 09:30:18,60.32,60.32,60.32,60.32,0,0,60.32
2020-03-30 09:30:19,60.32,60.32,60.32,60.32,0,0,60.32
2020-03-30 09:30:20,60.33,60.33,60.31,60.33,29,24,60.328
2020-03-30 09:30:21,60.33,60.33,60.33,60.33,0,0,60.33
2020-03-30 09:30:22,60.33,60.33,60.33,60.33,0,0,60.33
2020-03-30 09:30:23,60.1,60.6,60.09,60.6,4,4,60.369
2020-03-30 09:30:24,60.6,60.6,60.6,60.6,0,0,60.6
2020-03-30 09:30:25,60.6,60.6,60.6,60.6,0,0,60.6
2020-03-30 09:30:26,60.6,60.6,60.6,60.6,0,0,60.6
2020-03-30 09:30:27,60.6,60.6,60.6,60.6,0,0,60.6
2020-03-30 09:30:28,60.6,60.6,60.6,60.6,0,0,60.6
2020-03-30 09:30:29,60.71,60.71,60.71,60.71,1,1,60.71
2020-03-30 09:30:30,60.71,60.71,60.71,60.71,1,1,60.71
2020-03-30 09:30:31,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:32,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:33,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:34,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:35,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:36,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:37,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:38,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:39,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:40,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:41,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:42,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:43,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:44,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:45,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:46,60.71,60.71,60.71,60.71,0,0,60.71
2020-03-30 09:30:47,60.55,60.55,60.55,60.55,1,1,60.55
2020-03-30 09:30:48,60.61,61.01,60.61,61.01,4,3,60.787
2020-03-30 09:30:49,61.01,61.01,61.01,61.01,0,0,61.01
2020-03-30 09:30:50,61.01,61.01,61.01,61.01,0,0,61.01
2020-03-30 09:30:51,61.01,61.01,61.01,61.01,0,0,61.01
2020-03-30 09:30:52,61.01,61.01,61.01,61.01,0,0,61.01
2020-03-30 09:30:53,61.07,61.07,61.07,61.07,1,1,61.07
2020-03-30 09:30:54,61.07,61.07,61.07,61.07,0,0,61.07
2020-03-30 09:30:55,61.07,61.07,61.07,61.07,0,0,61.07
2020-03-30 09:30:56,61.07,61.07,61.07,61.07,0,0,61.07
2020-03-30 09:30:57,61.07,61.07,61.07,61.07,0,0,61.07
2020-03-30 09:30:58,61.07,61.07,61.07,61.07,0,0,61.07
2020-03-30 09:30:59,61.04,61.04,60.76,60.76,2,2,60.9
2020-03-30 09:31:00,61.06,61.06,61.05,61.05,3,2,61.057
2020-03-30 09:31:01,61.05,61.05,61.05,61.05,0,0,61.05
2020-03-30 09:31:02,61.05,61.05,61.05,61.05,0,0,61.05
2020-03-30 09:31:03,61.05,61.05,61.05,61.05,0,0,61.05
2020-03-30 09:31:04,61.06,61.06,61.06,61.06,1,1,61.06
2020-03-30 09:31:05,60.78,60.78,60.78,60.78,1,1,60.78
2020-03-30 09:31:06,61.04,61.04,61.04,61.04,1,1,61.04
2020-03-30 09:31:07,60.76,61.04,60.76,60.76,11,9,60.868
2020-03-30 09:31:08,61.06,61.06,61.05,61.06,2,2,61.06
2020-03-30 09:31:09,61.06,61.06,61.06,61.06,0,0,61.06
2020-03-30 09:31:10,61.06,61.06,61.06,61.06,1,1,61.06
2020-03-30 09:31:11,61.06,61.06,61.06,61.06,1,1,61.06
2020-03-30 09:31:12,61.06,61.06,61.06,61.06,0,0,61.06
2020-03-30 09:31:13,61.06,61.06,61.06,61.06,0,0,61.06
2020-03-30 09:31:14,61.04,61.04,61.04,61.04,3,2,61.04
2020-03-30 09:31:15,61.04,61.04,61.04,61.04,0,0,61.04
2020-03-30 09:31:16,61.04,61.04,61.04,61.04,0,0,61.04
2020-03-30 09:31:17,61.04,61.04,61.04,61.04,0,0,61.04
2020-03-30 09:31:18,60.8,60.91,60.71,60.81,25,23,60.776
2020-03-30 09:31:19,60.81,60.81,60.81,60.81,0,0,60.81
2020-03-30 09:31:20,60.81,60.81,60.81,60.81,0,0,60.81
2020-03-30 09:31:21,60.81,60.81,60.81,60.81,0,0,60.81
2020-03-30 09:31:22,60.81,60.81,60.81,60.81,0,0,60.81
2020-03-30 09:31:23,60.81,60.81,60.81,60.81,0,0,60.81
2020-03-30 09:31:24,60.81,60.81,60.81,60.81,0,0,60.81
2020-03-30 09:31:25,60.81,60.81,60.81,60.81,0,0,60.81
2020-03-30 09:31:26,61.03,61.03,61.03,61.03,1,1,61.03
2020-03-30 09:31:27,61.03,61.03,61.03,61.03,0,0,61.03
2020-03-30 09:31:28,61.03,61.03,61.03,61.03,0,0,61.03
2020-03-30 09:31:29,61.03,61.03,61.03,61.03,0,0,61.03
2020-03-30 09:31:30,61.03,61.03,61.03,61.03,0,0,61.03
2020-03-30 09:31:31,61.03,61.03,61.03,61.03,0,0,61.03
2020-03-30 09:31:32,61.03,61.03,61.03,61.03,0,0,61.03
2020-03-30 09:31:33,59.93,59.94,59.93,59.93,1,1,59.93
2020-03-30 09:31:34,59.93,59.94,59.93,59.93,0,0,59.93
2020-03-30 09:31:35,59.93,59.94,59.93,59.93,0,0,59.93
